Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
89,SIA/TR/MIN/287514/2022,,"M/s New Ramthakur Industry, Jirania R.D Block,  Block ID: UMT/WT/BR-024",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
93,SIA/TR/IND2/416816/2023,,Drilling of Exploratory location KHBQ_Z,"ONGC, TRIPURA ASSET",Under examination of SEIAA,EC,
95,SIA/TR/MIN/258194/2022,,M/s Laxmi Mata Bricks Industries(Unit - 1) Brick Earth mining,CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
96,SIA/TR/MIN/401429/2022,,"M/s Riaz Uddin Sand Block, Block ID: UMT/UN-003",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
97,SIA/TR/MIN/281287/2022,F.8(25)/SEIAA/2022/SM-08,Excavation of sand on Jitendra Nagar,TAPAN SHIL,EC Granted,EC,
98,SIA/TR/MIN/282219/2022,,Excavation of sand on Manu,SAJAL DEBNATH,Request for withdraw,EC,
99,SIA/TR/MIN/406623/2022,F.8(25)/TSPCB/SEIAA/2022/BF-290,"M/s Sima Bricks Industry, Block ID: UMT/WT/BR-028",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,EC Granted,EC,
103,SIA/TR/MIN/247176/2021,,"M/s Nirmal Nama Sand, Santipur Sand Block",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
128,SIA/TR/MIN/268062/2022,,"M/S Sujan Sarkar, Lawgang Sand Block, Plot No-1521(P), nearest plot-2507(P)",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
129,SIA/TR/MIN/235942/2021,,SAND MINE OF M/S BIJOY SAND,M/S BIJOY SAND,Delisted,EC,
130,SIA/TR/MIN/282185/2022,,Mining Plan of Pabiacherra Sand block Mine,SWARUP PAUL,Request for withdraw,EC,
131,SIA/TR/MIN/247218/2021,,"M/s Parbati Bricks Industries, Madhya Bharatchandranagar Brick  Earth   Mining",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
145,SIA/TR/IND2/281075/2022,F.8(25)/SEIAA/2022/ONGC/BRMAL,BRMAL,"ONGC, TRIPURA ASSET",EC Granted,EC,
14,SIA/TR/MIN/271626/2022,,"M/s. Jhutan debnath sand, purba debendranagar sand Block, Plot No-2537(P), Nearest Plot No. 1349,1351,1352,1353.",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
21,SIA/TR/MIN/409938/2022,F.8(25)/TSPCB/SEIAA/2022/BF-293,"M/s Sun Bricks Industries, Block ID: UMT/WT/BR-37",TIRTHANKAR DATTA,Site Visit by SEAC(Pending),EC,
22,SIA/TR/MIN/432462/2023,,"M/s Sanjit Debbarma Sand, Block ID: UMT/WT-001",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Under examination of SEIAA,EC,
23,SIA/TR/MIN/412404/2022,F.8(25)/TSPCB/SEIAA/2022/BF-295,M/S BASUNDHARA BRICKS INDUSTRIES,M/S BASUNDHARA BRICKS INDUSTRIES,Site Visit by SEAC(Pending),EC,
27,SIA/TR/MIN/232554/2021,,SRI JOY DEB DAS SAND,SRI JOY DEB DAS SAND,Delisted,EC,
28,SIA/TR/MIN/270895/2022,No.F.8 (25)/TSPCB/SEIAA/2022/BF-02,BRICK EARTH MINE OF M/S TRISHNA BRICKS INDUSTRIES,M/S TRISHNA BRICKS INDUSTRIES,EC Granted,EC,
