,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
926,SIA/KL/MIN/144310/2020,GRANITE BUILDING STONE QUARRY OF MR. RAJAN V V,Non-Coal Mining,26 Jun 2020,20/02/2020,11/03/2020,26/06/2020,26/07/2020,,,05/03/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/144310/2020&type=EC&ID=91582
927,SIA/KL/MIN/198708/2021,Laterite Building Stone of Biju. K .Ayyappan,Non-Coal Mining,03 Oct 2021,17/02/2021,22/03/2022,03/10/2021,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/198708/2021&type=EC&ID=164440
928,SIA/KL/MIN/125574/2019,Ordinary E,Non-Coal Mining,29 Jun 2020,16/11/2019,06/12/2019,10/01/2020,30/01/2020,24/03/2020,29/06/2020,30/06/2020,22/12/2020,07/06/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/125574/2019&type=EC&ID=71992
929,SIA/KL/MIN/125990/2019,Granite Building Stone Quarry of Mr.ZIyad A.L,Non-Coal Mining,19 Nov 2019,19/11/2019,,,04/12/2019,,,12/12/2019,26/04/2022,23/07/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/125990/2019&type=EC&ID=73108
930,SIA/KL/MIN/94003/2019,Quarry Project of Mr.Kunjimuhammed,Non-Coal Mining,02 Feb 2019,02/02/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/94003/2019&type=EC&ID=52494
931,SIA/KL/MIN/457294/2024,Laterite building stone quarry of  Mr. Venu Nair P.P,Non-Coal Mining,02 Jan 2024,02/01/2024,,,01/02/2024,,,02/02/2024,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/457294/2024&type=EC&ID=230914
932,SIA/KL/MIN/432642/2023,Laterite Building Stone Quarry of Abdul Jaleel,Non-Coal Mining,14 Jun 2023,08/06/2023,09/06/2023,14/06/2023,22/06/2023,,,16/07/2023,,22/01/2024,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/432642/2023&type=EC&ID=221064
933,SIA/KL/MIN/410787/2022,"Building Stone Mine” Quarry Project situated at Re-Survey Block No. 18, Re-Survey Nos. 13/2, 13/3, 18/2, 18/3, 40/1-1, 40/1-2, 40/4, 40/4-2, 40/6, 41/1-1, 41/1-2, 41/2, 41/3, 41/4, 41/5 (Patta land - 6.1918 ha.), 18/1, 41/6 (Govt. land - 1.6787 ha.), Chakkuvarakkal Village, Kottarakkara Taluk, Kollam District, Kerala for an area of 7.8705 ha by M/s Darshan Granites.",Non-Coal Mining,06 Feb 2023,15/12/2022,28/12/2022,11/01/2023,18/01/2023,24/01/2023,06/02/2023,09/03/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/410787/2022&type=EC&ID=213922
934,SIA/KL/IND1/400668/2022,M/s Met Rolla Steels Private Limited,Industrial Projects - 1,06 Nov 2022,06/11/2022,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/IND1/400668/2022&type=EC&ID=212343
935,SIA/KL/MIN/60457/2016,M/s M.A QUARRY,Non-Coal Mining,16 Nov 2016,16/11/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/60457/2016&type=EC&ID=32730
936,SIA/KL/NCP/58897/2016,"Prior Environmental Clarence for the proposed Rubber Park at Piravanthoor, Kollam ",INFRA-1,09 Sep 2016,09/09/2016,,,18/02/2017,,,21/03/2017,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/NCP/58897/2016&type=EC&ID=27512
937,SIA/KL/MIN/428820/2023,Ordinary Clay Mining Project of Mr. Abdul Latheef. C. M,Non-Coal Mining,11 May 2023,11/05/2023,,,18/05/2023,,,23/05/2023,,31/01/2024,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/428820/2023&type=EC&ID=219600
938,SIA/KL/INFRA2/445681/2023,"Environmental Clearance for the Proposed Commercial Complex Project at  Kanipayyur & Choondal Villages, Chowannur Panchayat, Kunnamkulam Taluk, Thrissur District, Kerala by M/s Kunnamkulam Centre LLP",INFRA-2,02 Nov 2023,25/09/2023,31/10/2023,02/11/2023,16/11/2023,,,28/11/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/INFRA2/445681/2023&type=EC&ID=225584
939,SIA/KL/MIN/413691/2023,Granite Building Stone Quarry of M/s. Travancore Granites,Non-Coal Mining,17 Mar 2023,08/01/2023,18/01/2023,17/03/2023,23/03/2023,,,23/05/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/413691/2023&type=EC&ID=215045
940,SIA/KL/MIN/70795/2017,BUILDING STONE QUARRY OF M/s NALAKATH GRANITES,Non-Coal Mining,04 Nov 2017,04/11/2017,,,20/11/2017,,,06/06/2018,,17/03/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/70795/2017&type=EC&ID=39173
941,SIA/KL/MIN/52304/2016,Granite Building Stone quarry of Shri.C.C.Joseph,Non-Coal Mining,30 Mar 2016,30/03/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/52304/2016&type=EC&ID=15952
942,SIA/KL/NCP/59842/2016,Environmental Clearance for the Proposed Housing Project by M/s Kalyan Developers,INFRA-1,20 Oct 2016,20/10/2016,,,20/02/2017,,,07/04/2017,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/NCP/59842/2016&type=EC&ID=32300
943,SIA/KL/NCP/50259/2016,Environmental Clearance for the Proposed Residential cum Service Apartment Project to be developed by M/s Artech Realtors (P) Ltd.,INFRA-1,23 Feb 2016,23/02/2016,,,04/11/2016,,,16/03/2017,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/NCP/50259/2016&type=EC&ID=14116
944,SIA/KL/MIN/95100/2019,Building stone quarry of Mr.Khaja Hussain Arakuparambu,Non-Coal Mining,09 Feb 2019,09/02/2019,,,11/02/2019,,,,,27/02/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/95100/2019&type=EC&ID=52835
945,SIA/KL/MIN/417557/2023,Granite Building Stone Quarry of Mr. Abdul Hameed K P,Non-Coal Mining,25 Feb 2023,13/02/2023,15/02/2023,25/02/2023,02/03/2023,,,10/04/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/417557/2023&type=EC&ID=216451
946,SIA/KL/MIN/94160/2019,Building Stone Quarry Of Mr. Jamshid,Non-Coal Mining,04 Feb 2019,04/02/2019,,,05/02/2019,,,,,06/08/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/94160/2019&type=EC&ID=52539
947,SIA/KL/MIN/411554/2022,M/S Ceekay Sons Crushers,Non-Coal Mining,25 Feb 2023,21/12/2022,02/02/2023,25/02/2023,02/03/2023,,,10/04/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/411554/2022&type=EC&ID=214156
948,SIA/KL/MIN/411362/2022,Granite Building Stone Quarry ,Non-Coal Mining,07 Aug 2023,20/12/2022,21/06/2023,07/08/2023,01/09/2023,,,24/10/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/411362/2022&type=EC&ID=214098
949,SIA/KL/MIN/410959/2022,Laterite Building Stone of Mahesh P,Non-Coal Mining,28 Feb 2023,16/12/2022,10/01/2023,13/01/2023,17/01/2023,23/01/2023,28/02/2023,09/03/2023,,24/08/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/410959/2022&type=EC&ID=213947
950,SIA/KL/MIN/437695/2023,Laterite building stone quarry of Mr. Chandran. V,Non-Coal Mining,26 Jul 2023,26/07/2023,,,03/09/2023,,,04/09/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/437695/2023&type=EC&ID=223195
