,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link
974,SIA/CG/IND/79561/2018,OL/EC/IND/RAIPUR/740,SHIVALI UDYOG (I) LIMITED,Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 20 Sep 2018 ,Date of Ec Granted : 25 Feb 2019,Industrial Projects - 1,SHIVALI UDYOG I LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/IND/79561/2018&pid=45783
975,SIA/CG/MIN/62702/2017,,GRAM PANCHAYAT PARAGAON SAND MINE,Chhattisgarh,Raipur,Abhanpur,Date of Submission for TOR: ,Date of Submission for EC: 22 Feb 2017 ,Non-Coal Mining,GRAM PANCHAYAT PARAGAON SAND QUARRY,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/62702/2017&pid=34277
976,SIA/CG/MIN/198407/2021,OL/EC/MIN/SURAJPUR/1561,Karkoti Bricks Earth clay Quarry & Fix Chimney Bricks Plant,Chhattisgarh,Surajpur,Surajpur,Date of Submission for EC: 19 Feb 2021 ,Date of Ec Granted : 28 Jun 2021,Non-Coal Mining,SMT. SONAM GOYAL,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/198407/2021&pid=163360
977,SIA/CG/MIN/411417/2022,,donar sand mine,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 20 Dec 2022 ,Non-Coal Mining,DEOKANT PATEL,Request for withdraw,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/411417/2022&pid=214105
978,SIA/CG/MIN/428189/2023,OL/EC/MIN/MUNGELI/1453,M/s Shitla Minerals (Partner - Shri Manish Kumar Agrawal ),Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 13 Jun 2023 ,Non-Coal Mining, SHITLA MINERALS,Awaiting EC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/428189/2023&pid=221313
979,SIA/CG/MIN/60447/2016,OL/EC/SANDMINE/JANJGIR_CHAMPA/525,nawapara sand mine,Chhattisgarh,Janjgir - Champa,Janjgir,Date of Submission for TOR: ,Date of Submission for EC: 16 Nov 2016 ,Non-Coal Mining,NAWAPARA,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/60447/2016&pid=32722
980,SIA/CG/MIN/148978/2020,OL/EC/MIN/RAJNANDGAON/1260,KALKASA LIMESTONE QUARRY,Chhattisgarh,Rajnandgaon,Khairagarh,Date of Submission for EC: 20 May 2020 ,Date of Ec Granted : 23 Feb 2021,Non-Coal Mining,SHRI PRASHANT KANKARIYA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/148978/2020&pid=98626
981,SIA/CG/MIN/43944/2019,OL/EC/MIN/RAJNANDGAON/969,Girdhari Lal Talreja,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 13 Feb 2020 ,Date of Ec Granted : 15 Jun 2020,Non-Coal Mining,GIRDHARI  LAL  TALREJA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/43944/2019&pid=67221
982,SIA/CG/MIN/164701/2020,OL/EC/MIN/RAIGARH/1357,Budia Sand Mine of M/s. Maa Tarini Traders,Chhattisgarh,Raigarh,Tamnar,Date of Submission for EC: 22 Jul 2020 ,Date of Ec Granted : 09 Nov 2020,Non-Coal Mining,BUDIA SAND MINE OF MAA TARINI TRADERS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/164701/2020&pid=116425
983,SIA/CG/MIN/42660/2016,,Brick Earth Quarry,Chhattisgarh,Surguja,Lundra,Date of Submission for TOR: ,Date of Submission for EC: 30 Jan 2016 ,Non-Coal Mining,SHRI KRISHNA LAL YADAV,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/42660/2016&pid=11383
