,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link
0,SIA/CG/MIN/43867/2019,OL/EC/MIN/RAJNANDGAON/986,Shashikala Gupta,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 08 Feb 2020 ,Date of Ec Granted : 15 Jun 2020,Non-Coal Mining,SHASHIKALA GUPTA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/43867/2019&pid=67164
1,SIA/CG/MIN/33966/2015,OL/EC/SandMINE/DURG/207,Basni Sand Mine,Chhattisgarh,Durg,Dhamdha,Date of Submission for EC: 07 Dec 2015 ,Date of Ec Granted : 09 Mar 2016,Non-Coal Mining,SARPANCH BASNI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/33966/2015&pid=3313
2,SIA/CG/MIN/127473/2019,,R Andrew Maniraj Kotni Sand Mine,Chhattisgarh,Durg,Durg,Date of Submission for TOR: ,Date of Submission for EC: 26 Nov 2019 ,Non-Coal Mining,KOTNI SAND MINE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/127473/2019&pid=77440
3,SIA/CG/MIN/127754/2019,OL/EC/MIN/RAJANANDGAON/1274,Smt.Aruna Jogewar,Chhattisgarh,Rajnandgaon,Khairagarh,Date of Submission for EC: 21 Sep 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,SMT ARUNA JOGEWAR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/127754/2019&pid=77483
4,SIA/CG/MIN/142833/2020,OL/EC/MIN/KONDAGAON/1170,SINGANPUR ORDINARY SAND MINE KONDAGAON CG,Chhattisgarh,Kondagaon,No Data,Date of Submission for EC: 06 May 2020 ,Date of Ec Granted : 31 Oct 2020,Non-Coal Mining,SINGANPUR ORDINARY SAND MINE KONDAGAON CG,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/142833/2020&pid=91228
5,SIA/CG/MIN/143295/2020,OL/EC/MIN/RAJNANDGAON/1176,Shivlal Chakradhari Joratarai Limestone Mine,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 20 Mar 2020 ,Date of Ec Granted : 30 Sep 2020,Non-Coal Mining,SHIVLAL CHAKRADHARI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/143295/2020&pid=91324
6,SIA/CG/MIN/56113/2016,,DINESH KUMAR RUPRELA STONE MINE,Chhattisgarh,Kanker,Charama,Date of Submission for TOR: ,Date of Submission for EC: 14 Jun 2016 ,Non-Coal Mining,DINESH KUMAR RUPRELA STONE MINE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/56113/2016&pid=22288
7,SIA/CG/MIN/41012/2016,OL/EC/SANDMINE/SURAJPUR/312,Kamalpur Sand Mine,Chhattisgarh,Surajpur,Surajpur,Date of Submission for EC: 15 Jan 2016 ,Date of Ec Granted : 28 May 2016,Non-Coal Mining,SARPANCH KAMALPUR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/41012/2016&pid=9846
8,SIA/CG/MIN/216927/2021,OL/EC/MIN/BASTAR/1722,M/s SUNNY STONE CRUSHER LIMESTONE MINE TIKANPAL BASTAR CG,Chhattisgarh,Bastar,Bastar,Date of Submission for EC: 02 Jul 2021 ,Date of Ec Granted : 28 Sep 2021,Non-Coal Mining,M/S SUNNY STONE CRUSHER LIMESTONE MINE TIKANPAL BASTAR CG  1.50 HA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/216927/2021&pid=188692
9,SIA/CG/MIN/174001/2020,OL/EC/MIN/KJ_CHAMPA/1399,Tanaud sand mine of Pitambar Agrawal,Chhattisgarh,Janjgir - Champa,Pamgarh,Date of Submission for EC: 18 Sep 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,TANAUD SAND MINE OF PITAMBAR AGRAWAL,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/174001/2020&pid=130593
10,SIA/CG/MIN/150569/2020,OL/EC/MIN/RAJNANDGAON/1276,Anita Sahu,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for TOR: ,Date of Submission for EC: 04 Jul 2020 ,Non-Coal Mining,ANITA SAHU,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/150569/2020&pid=99997
11,SIA/CG/MIN/402745/2022,OL/EC/MIN/BALODABAZAR/2164,Dhabadhi Limestone Quarry Pro-Sanjay Agrawal,Chhattisgarh,Balodabazar,,Date of Submission for TOR: ,Date of Submission for EC: 11 Oct 2022 ,Non-Coal Mining,ASHUTOSH SANYASHI MINING CONSULTANCY,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/402745/2022&pid=211412
12,SIA/CG/INFRA2/423097/2023,OL/EC/INFRA2/RAIPUR/2344,Shivay Infra,Chhattisgarh,,,Date of Submission for EC: 23 Mar 2023 ,Date of Ec Granted : 15 Dec 2023,INFRA-2,RAJESH KUKREJA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/INFRA2/423097/2023&pid=217929
13,SIA/CG/MIN/422942/2023,OL/EC/MIN/KANKER/2355,Bhuigaon sand mine,Chhattisgarh,,,Date of Submission for EC: 29 Mar 2023 ,Date of Ec Granted : 15 Dec 2023,Non-Coal Mining,AMESH NETAM,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/422942/2023&pid=218151
14,SIA/CG/MIN/443671/2023,OL/EC/MIN/BALODA_BAZAR/2665,M/s Singhania Enterprises									,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 09 Sep 2023 ,Non-Coal Mining, SINGHANIA ENTERPRISES,Awaiting EC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/443671/2023&pid=224953
15,SIA/CG/MIN/146617/2020,OL/EC/MIN/KORIYA/1218,Harchoka sand mine of Ajitesh Sahu,Chhattisgarh,Koriya,Bharatpur,Date of Submission for EC: 02 Mar 2020 ,Date of Ec Granted : 15 Jun 2020,Non-Coal Mining,HARCHOKA SAND MINE OF AJITESH SAHU,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/146617/2020&pid=95050
16,SIA/CG/MIN/76070/2018,OL/EC/MIN/DURG/736,Pitora Limestone Mine,Chhattisgarh,Durg,Dhamdha,Date of Submission for EC: 26 Sep 2018 ,Date of Ec Granted : 11 Feb 2019,Non-Coal Mining,TEKENDRA CHANDRAKAR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/76070/2018&pid=45179
17,SIA/CG/MIN/37017/2019,OL/EC/MIN/JASHPUR/891,"Sand Excavation Project of Ramdev Nayak (Sachiv), Gram Panchayat Duldula, Village – Duldula, Tehsil – Duldula, District– Jashpur (C.G.)",Chhattisgarh,Jashpur,Kunkuri,Date of Submission for TOR: ,Date of Submission for EC: 05 Jul 2019 ,Non-Coal Mining,RAMDEV NAYAK,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/37017/2019&pid=56146
18,SIA/CG/MIN/180088/2020,OL/EC/MIN/KORBA/1433,Konkona Ordinary Stone Temporary Permit Quarry  (1),Chhattisgarh,Korba,Poundi Uproda,Date of Submission for EC: 23 Oct 2020 ,Date of Ec Granted : 29 Dec 2020,Non-Coal Mining,KONKONA ORDINARY STONE TEMPORARY PERMIT QUARRY  (1),EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/180088/2020&pid=140096
19,SIA/CG/MIN/136125/2020,OL/EC/STONE_MINE/JASHPUR/1124,Stone Mine of Making Gitti of Shri Vijay Kumar Gupta,Chhattisgarh,Jashpur,Jashpur,Date of Submission for EC: 10 Jan 2020 ,Date of Ec Granted : 31 Mar 2021,Non-Coal Mining,VIJAY KUMAR GUPTA.,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/136125/2020&pid=85534
20,SIA/CG/MIN/221813/2021,OL/EC/MIN/DHAMTARI/1752,PAIKBHATA CRUSHER STONE QUARRY,Chhattisgarh,Dhamtari,Nagri,Date of Submission for EC: 04 Aug 2021 ,Date of Ec Granted : 28 Sep 2021,Non-Coal Mining,PAIKBHATA CRUSHER STONE QUARRY 1.20 HA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/221813/2021&pid=189584
21,SIA/CG/MIN/35946/2015,,Quartz Mine,Chhattisgarh,Mahasamund,Basna,Date of Submission for TOR: ,Date of Submission for EC: 24 Dec 2015 ,Non-Coal Mining,DINESH SHARMA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/35946/2015&pid=5086
22,SIA/CG/MIN/31820/2015,OL/EC/SANDMINE/KORBA/75,,Chhattisgarh,Korba,Katghora,Date of Submission for EC: 15 Oct 2015 ,Date of Ec Granted : 01 Dec 2015,Non-Coal Mining,MUNICIPAL CORPORATION KATGHORA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/31820/2015&pid=1487
23,SIA/CG/MIN/32068/2015,,Karhikachhar sand Mining ,Chhattisgarh,Bilaspur,Kota,Date of Submission for TOR: ,Date of Submission for EC: 23 Oct 2015 ,Non-Coal Mining,PANCHAYAT SACHIV,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/32068/2015&pid=1666
24,SIA/CG/MIN/40563/2019,,Radhapur Sand Mining,Chhattisgarh,Surguja,Sitapur,Date of Submission for TOR: ,Date of Submission for EC: 02 Aug 2019 ,Non-Coal Mining,GRAM PANCHAYAT RADHAPUR,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/40563/2019&pid=59111
25,SIA/CG/MIN/67299/2017,OL/EC/LIME_STONE/BALODABAZAAR/627,Bitkuli Limestone Mine 3.603 H,Chhattisgarh,Balodabazar,No Data,Date of Submission for EC: 08 Aug 2017 ,Date of Ec Granted : 26 Oct 2017,Non-Coal Mining,ASHOK KUMAR JOHN,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/67299/2017&pid=37119
26,SIA/CG/MIN/42230/2016,OL/EC/SANDMINE/DURG/329,Danganiya B Sand Mine,Chhattisgarh,Durg,Berla,Date of Submission for TOR: ,Date of Submission for EC: 25 Jan 2016 ,Non-Coal Mining,SARPANCH DANGANIYA B,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/42230/2016&pid=10986
27,SIA/CG/MIN/243432/2021,OL/EC/MIN/BALODABAZAR/1844,Rajesh Agrawal Limestone Quarry,Chhattisgarh,Balodabazar,Baloda Bazar,Date of Submission for EC: 17 May 2022 ,Date of Ec Granted : 04 Mar 2024,Non-Coal Mining,ASHUTOSH SANYASHI MINING CONSULTANCY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/243432/2021&pid=194505
28,SIA/CG/MIN/61361/2021,OL/EC/MIN/RAIGARH/1575,"Proposed Gudeli Limestone Mining Project;, Area3.113 Hect.; Production Capacity of Limestone : 11,75,061.25 tonnes Near Village:- Gudeli, Tehsil:- Sarangarh, District:- Raigarh (C.G.). of M/s. Shri Nitin Singhal",Chhattisgarh,Raigarh,Sarangarh,Date of Submission for EC: 06 Mar 2022 ,Date of Ec Granted : 21 Sep 2022,Non-Coal Mining,NITIN SINGHAL,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/61361/2021&pid=200034
29,SIA/CG/MIN/400843/2022,OL/EC/MIN/KORIYA/2158,Crusher Stone Quarry,Chhattisgarh,Koriya,,Date of Submission for TOR: ,Date of Submission for EC: 16 Nov 2022 ,Non-Coal Mining,KRISHNA TIWARI,Agenda Uploaded by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/400843/2022&pid=210890
30,SIA/CG/MIN/274914/2022,OL/EC/MIN/KORIYA/2053,Bhandarpara ordinary stone Quarry,Chhattisgarh,Koriya,Baikunthpur,Date of Submission for TOR: ,Date of Submission for EC: 17 Oct 2022 ,Non-Coal Mining,SUBHASH VERMA,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/274914/2022&pid=203830
31,SIA/CG/MIN/430554/2023,OL/EC/MIN/BALOD/2486,SHRI DINESH CHAND NAKHAT,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 21 Jul 2023 ,Non-Coal Mining,DINESH NAKHAT,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/430554/2023&pid=220560
32,SIA/CG/MIN/145537/2020,OL/EC/MIN/MUNGELI/1209,Jamunahi Sand Mine,Chhattisgarh,Mungeli,Lormi,Date of Submission for EC: 18 Mar 2020 ,Date of Ec Granted : 13 Jul 2020,Non-Coal Mining,GANGA PRASAD KASHYAP,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/145537/2020&pid=91840
33,SIA/CG/MIN/44167/2017,OL/EC/MIN/RAJNANDGAON/1019,Narayan Das Lohani Lime Stone Quarry,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 23 Mar 2020 ,Date of Ec Granted : 30 Sep 2020,Non-Coal Mining,NARAYAN DAS LOHANI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/44167/2017&pid=68365
34,SIA/CG/MIN/44263/2019,OL/EC/MIN/KOREA/969A,M/S RAMNIWAS PODDAR ORDINARY STONE MINE SAINDA KORIYA,Chhattisgarh,Koriya,No Data,Date of Submission for EC: 08 Mar 2020 ,Date of Ec Granted : 17 Jul 2020,Non-Coal Mining,M/S RAMNIWAS PODDAR ORDINARY STONE MINE SAINDA KORIYA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/44263/2019&pid=68419
35,SIA/CG/MIN/49051/2016,,Chicholi Stone Mine,Chhattisgarh,Korba,Kartala,Date of Submission for TOR: ,Date of Submission for EC: 11 Feb 2016 ,Non-Coal Mining,PREM LALA BINJWAR,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/49051/2016&pid=12858
36,SIA/CG/MIN/32437/2015,,Tirupati Buildcon Pvt Ltd Ordinary stone mine,Chhattisgarh,Bilaspur,Kota,Date of Submission for TOR: ,Date of Submission for EC: 03 Nov 2015 ,Non-Coal Mining,TIRUPATI BUILDCON PVT LTD,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/32437/2015&pid=1961
37,SIA/CG/MIN/32446/2015,OL/EC/CLAYMINE/RAIPUR/119,"Clay Quarry At Village Kumhari, Raipur (cg)",Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 04 Nov 2015 ,Date of Ec Granted : 17 Mar 2016,Non-Coal Mining,RAM SA BRICK INDUSTRIES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/32446/2015&pid=1970
38,SIA/CG/MIN/37391/2015,OL/EC/sand_mine/KANKER/272,Nara Sand Mine,Chhattisgarh,Kanker,Kanker,Date of Submission for EC: 31 Dec 2015 ,Date of Ec Granted : 13 Apr 2016,Non-Coal Mining,SARPANCH NARA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/37391/2015&pid=6488
39,SIA/CG/IND/18008/2016,OL/EC/IND/RAIPUR/535,-1,Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 28 Jul 2017 ,Date of Ec Granted : 22 Jan 2018,Industrial Projects - 1,LINGRAJ STEEL AND POWER PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/IND/18008/2016&pid=37019
40,SIA/CG/MIN/160757/2020,OL/EC/MIN/KANKER/1336,KARIHA SAND QUARRY,Chhattisgarh,Kanker,Charama,Date of Submission for EC: 18 Sep 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,KANKER SAND QUARRY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/160757/2020&pid=115414
41,SIA/CG/INFRA2/423114/2023,OL/EC/INFRA2/RAIPUR/2354,300 bedded Hospital project “BCM Kokilaben Dhirubhai Ambani Hospital”,Chhattisgarh,,,Date of Submission for EC: 27 Mar 2023 ,Date of Ec Granted : 25 Jul 2023,INFRA-2, BCM WELLNESS LLP,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/INFRA2/423114/2023&pid=218039
42,SIA/CG/MIN/442525/2023,OL/EC/MIN/BALODA_BAZAR/2662,Mayank Mani Tripathi,Chhattisgarh,,,Date of Submission for EC: 07 Sep 2023 ,Date of Ec Granted : 04 Mar 2024,Non-Coal Mining,MAYANK TRIPATHI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/442525/2023&pid=224889
43,SIA/CG/MIS/174475/2020,OL/EC/MIN/BASTAR/1403,"Super Specialty Hospital, under PMSSY  (Phase-IV), Jagdalpur",Chhattisgarh,Bastar,Jagdalpur,Date of Submission for TOR: ,Date of Submission for EC: 22 Sep 2020 ,INFRA-2,LATE BALIRAM KASHYAP MEMORIAL GOVERNMENT MEDICAL COLLEGE,Under examination of SEIAA after SEAC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIS/174475/2020&pid=131724
44,SIA/CG/MIN/32282/2015,OL/EC/SANDMINE/DURG/110,babaghatoli sand mine,Chhattisgarh,Durg,Bemetra,Date of Submission for EC: 30 Oct 2015 ,Date of Ec Granted : 11 Jan 2016,Non-Coal Mining,SARPANCH BABAGHATOLI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/32282/2015&pid=1842
45,SIA/CG/MIN/38736/2016,OL/EC/SANDMINE/SURGUJA/2290,Kantipur Sand project ,Chhattisgarh,Surajpur,Surajpur,Date of Submission for TOR: ,Date of Submission for EC: 08 Jan 2016 ,Non-Coal Mining,KANTIPUR GRAM PANCHAYAT,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/38736/2016&pid=7781
46,SIA/CG/MIN/42243/2016,OL/EC/BRICK_EARTH_QUARRY/BILASPUR/330,Brick Earth Quarry Proponent Om Prakash Vidhani,Chhattisgarh,Bilaspur,Bilaspur,Date of Submission for TOR: ,Date of Submission for EC: 25 Jan 2016 ,Non-Coal Mining,BRICK EARTH QUARRY PROPONENT OMPRAKASH VIDHANI,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/42243/2016&pid=10998
47,SIA/CG/MIN/42263/2016,OL/EC/SANDMINE/JANJGIR-CHAMPA/331,barhaguda sand mine,Rajasthan,Jodhpur,Jodhpur,Date of Submission for EC: 25 Jan 2016 ,Date of Ec Granted : 28 May 2016,Non-Coal Mining,SACHIV BARHAGUDA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/42263/2016&pid=11016
48,SIA/CG/MIN/59524/2016,OL/EC/SANDMINE/MAHASAMUND/508,Lamisarar Sand Mine,Chhattisgarh,Mahasamund,Mahasamund,Date of Submission for TOR: ,Date of Submission for EC: 07 Oct 2016 ,Non-Coal Mining,SARPANCH UKHARA,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/59524/2016&pid=32046
49,SIA/CG/MIN/174324/2020,OL/EC/MIN/SURAJPUR/1402,Runiyadih Bricks Earth clay Quarry & Fix Chimney Plant,Chhattisgarh,Surajpur,Surajpur,Date of Submission for EC: 27 Nov 2020 ,Date of Ec Granted : 28 Sep 2021,Non-Coal Mining,RUNIYADIH BRICKS EARTHCLAY QUARRY & FIX CHIMNEY BRICKS PLANT,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/174324/2020&pid=130680
50,SIA/CG/MIN/129699/2019,OL/EC/MIN/BASTAR/678,Rajoor Limestone Mine,Chhattisgarh,Bastar,Jagdalpur,Date of Submission for EC: 05 Dec 2019 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,MAGRAJ KHATRI PROPRIETOR PANKAJ STONE CRUSHER INDUSTRIES,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/129699/2019&pid=78917
51,SIA/CG/MIN/156121/2020,OL/EC/MIN/RAJNANDGAON/1318,Vaibhav Golchha,Chhattisgarh,Rajnandgaon,Manpur,Date of Submission for EC: 24 Jun 2020 ,Date of Ec Granted : 07 Nov 2020,Non-Coal Mining,VAIBHAV GOLCHHA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/156121/2020&pid=111572
52,SIA/CG/MIN/160455/2020,OL/EC/MIN/B_BAZAAR/1334,Sunsuniya sand mine of Deepak Tripathi,Chhattisgarh,Balodabazar,Baloda Bazar,Date of Submission for TOR: ,Date of Submission for EC: 07 Nov 2020 ,Non-Coal Mining,SUNSUNIYA SAND MINE OF DEEPAK TRIPATHI,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/160455/2020&pid=114353
53,SIA/CG/MIN/186626/2020,,BHEETARRAS ORDINARY SAND MINE DHAMTARI CHHATTISGARH 4.95 HA,Chhattisgarh,Dhamtari,Nagri,Date of Submission for TOR: ,Date of Submission for EC: 04 Dec 2020 ,Non-Coal Mining,BHEETARRAS ORDINARY SAND MINE DHAMTARI CG,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/186626/2020&pid=146658
54,SIA/CG/MIS/256138/2022,,"Installation of Bicable Fixed Grip Passenger Ropeway System at Khallari Mata Temple, Chhattisgarh",Chhattisgarh,Mahasamund,Mahasamund,Date of Submission for TOR: ,Date of Submission for EC: 14 Feb 2022 ,INFRA-2, ROPEWAY AND RESORTS PRIVATE LIMITED,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIS/256138/2022&pid=199069
55,SIA/CG/MIN/43992/2019,,Barbarik Project Limited Chhirralewa A,Chhattisgarh,Mahasamund,Basna,Date of Submission for TOR: ,Date of Submission for EC: 01 Oct 2019 ,Non-Coal Mining,BARBARIC PROJECT LIMITED SURAJPUR,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/43992/2019&pid=67261
56,SIA/CG/MIN/42638/2016,OL/EC/SANDMINE/JANJGIR-CHAMPA/350,GRAM PANCHAYAT KUDRI SAND MINE,Chhattisgarh,Janjgir - Champa,Janjgir,Date of Submission for EC: 29 Jan 2016 ,Date of Ec Granted : 28 May 2016,Non-Coal Mining,SARPANCH GRAM PANCHAYAT KUDRI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/42638/2016&pid=11365
57,SIA/CG/NCP/32637/2015,OL/EC/BUILDING_Construction/BILASPUR/136,"""RAMA WORLD PHASE # 2"" 
ZODIAC DEALER PRIVATE LIMITED
 (Multi-storied Residential complex)
",Chhattisgarh,Bilaspur,Bilaspur,Date of Submission for EC: 06 Nov 2015 ,Date of Ec Granted : 15 Mar 2016,INFRA-1,ZODIAC DEALER PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/NCP/32637/2015&pid=2117
58,SIA/CG/MIN/43871/2019,OL/EC/MIN/RAJNANDGAON/1015,M/s Kavita Stone (Prop. Smt. Kavita Parikh),Chhattisgarh,Rajnandgaon,Khairagarh,Date of Submission for EC: 02 Mar 2020 ,Date of Ec Granted : 30 Sep 2020,Non-Coal Mining,KAVITA PARIKH,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/43871/2019&pid=67166
