Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
3699,SIA/AP/MIN/67803/2017,,KRISHNA MERCHANTS PVT. LTD. (7.5 HA COLOUR GRANITE QUARRY LEASE AREA),KRISHNA MERCHANTS PVT LTD,Delisted,EC,
3700,SIA/AP/MIN/421421/2023,AP MIN KDP    3 2023 4972,Vempalli sand Reach - II,"JAIPRAKASH POWER VENTURES LIMITED, KADAPA",ADS by SEAC,EC,
3702,SIA/AP/MIN/258176/2022,AP MIN ANT 02 2022 3979,Sri Fazlur Rehman Shariff,SRI FAZLUR REHMAN SHARIFF,EC Granted,EC,
3707,SIA/AP/MIS/53902/2016,AP KRI CON 05 2016 90,"Construction of ""Residential Complex""",HRT SRI DEVELOPERS,EC Granted,EC,
3710,SIA/AP/IND2/169448/2020,AP SKLM IND 11 2020 2354,"Propose Expansion of Active Pharmaceutical Ingredients (APIs) and API Intermediates Manufacturing unit along with 3 MW CPP by M/s. Covalent Laboratories Private Limited, Unit-II",M/S. COVALENT LABORATORIES PRIVATE LIMITED,EC Granted - Processed offline,EC,
3711,SIA/AP/MIN/403153/2022,AP    MIN   SPSR 10 2022 4658,M/s. Padmaja Mine & Minerals – Silica Sand Mine-3.379ha,CHAITANYA KUMAR REDDY DEVIREDDY,EC Granted,EC,
3712,SIA/AP/MIN/406777/2022,AP VSP MIN 12 2021 3747,4.99 Ha of Colour Granite Quarry of Sri U Govinda Rao,GOVINDA RAO UDAYAGIRI,EC Granted,EC,
3713,SIA/AP/MIN/404720/2022,AP NLR MIN 11 2022 4686,Sri M.Sanjeeva Raju,MUDDULURU SANJEEVA RAJU,Rejection Letter Granted,EC,
3717,SIA/AP/MIN/419864/2023,AP/VZM/MIN/ 11/2021/3597,"Mining of Road Metal & Building Stone Quarry, Sri B.Naidu Babu, (Lease Area 1.955 Ha)",SRI B. NAIDU BABU,EC Granted,EC,
3718,SIA/AP/MIN/425195/2023,,SRIKAKULAM 1 SAND REACH,JAIPRAKASHPOWERVENTURESLIMITED,Pending at PP due to eds,EC,
3719,SIA/AP/MIN/425196/2023,,SRIKAKULAM 4 SAND REACH,JAIPRAKASHPOWERVENTURESLIMITED,Pending at PP due to eds,EC,
3721,SIA/AP/MIN/401247/2022,AP  MIN  CTR 9 2022 4613,Khadri Lakshmi Narsimha Granites,KHADRI LAKSHMI NARASIMHA GRANITES,EC Granted,EC,
3722,SIA/AP/MIN/424693/2023,AP MIN NTR 4 2023 5023,Northvalluru 6 Sand Reach,JAIPRAKASHPOWERVENTURESLIMITED,ADS by SEAC,EC,
3724,SIA/AP/MIN/45724/2019,AP SKLM MIN  11 2019 1456,SRI B.NARAYANA RAO,SRI B NARAYANA RAO,EC Granted - Processed offline,EC,
3725,SIA/AP/MIN/33363/2019,AP CTR MIN 03 2019 898,Sri G.Damodharam Naidu,SRI G.DAMODHARAM NAIDU,EC Granted - Processed offline,EC,
