Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
61,SIA/HR/NCP/58661/2016,"File No- SEIAA/HR/16/298
Dated-29/09/2016
please",Affordable Plotted Colony Project under Deen Dayal Awas Yojna,RAHEJA DEVELOPERS LTD.,EC Granted - Processed offline,EC,
62,SIA/HR/NCP/681/2014,,Group housing colony,EMAAR MGF LAND LTD,Delisted,EC,
63,SIA/HR/NCP/2691/2015,,IA/HR/MIS/27437/2015,REGARDS DEVELOPERS PRIVATE LIMITED,Pending at PP due to eds,EC,
64,SIA/HR/MIS/31311/2019,"SEIAA/HR/19/13

Hard copy to be submitted",,M/S MANGALAM MULTIPLEX PVT. LTD.,EC Granted - Processed offline,EC,
65,SIA/HR/NCP/6173/2016,SEIAA/HR/16/252 dated 12.01.2016. you are advised,IA/HR/MIS/27435/2015,MALIBU ESTATE PVT. LTD.,Delisted,EC,
69,SIA/HR/MIS/138680/2020,SEIAA/HR/2020/252 hard copy to be submitted,Expansion of Commercial Office Complex Signature Tower-III,UNITECH LIMITED,Delisted,EC,
70,SIA/HR/MIS/159823/2020,,Expansion due to modernisation Group Housing Project “Sunbreeze”,UNITECH LIMITED,Delisted,EC,
71,SIA/HR/NCP/64381/2017,SEIAA/HR/17/331 dated 09.05.2017,WarehouseProject,GLS LOGISTICS PRIVATE LIMITED.,EC Granted,EC,
72,SIA/HR/MIS/53139/2019,SEIAA/HR/19/154. Tor were approved by seiaa vide l,"Modification Cum Revision of Group Housing Colony at Village- Harsaru, Sector- 88B, Gurgaon by M/s Vatika Ltd.",M/S VATIKA LIMITED,Rejection Letter Granted,EC,
73,SIA/HR/NCP/60327/2016,file no. SEIAA/HR/16/306 dated 21.11.2016. please,"Affordable Group Housing Colony at Sector 85, Faridabad, Haryana",VRP BUILDTECH PVT LTD,EC Granted,EC,
74,SIA/HR/MIS/38652/2017,SEIAA/HR/19/182 hard copy to be submitted,98.836 Ha Township Development,MODEL ECONOMIC TOWNSHIP LIMITED  FORMERLY KNOWN AS RELIANCE HARYANA SEZ LIMITED,EC Granted - Processed offline,EC,
75,SIA/HR/MIS/31309/2019,"SEIAA/HR/19/10

Hard Copy to be submitted",,SHIV SAI INFRASTRUCTURE PRIVATE LIMITED,EC Granted - Processed offline,EC,
76,SIA/HR/MIS/31328/2019,"SEIAA/HR/19/29

Hard copy to be submitted","Proposed Mixed landuse Project under TOD Policy (70% Residential + 30% Commercial) on land measuring 166.69 acres in Revenue Estate of village-Chauma, Sector-111, Gurugram, Haryana",M/S MASK REALCON PVT. LTD.,EC Granted,EC,
77,SIA/HR/NCP/21387/2017,SEIAA/HR/17/346 dated 12.09.2017,"Construction of Commercial Project ""Corporate Tower III""",M/S AMBIENCE DEVELOPERS & INFRASTRUCTURES PVT. LTD.,EC Granted,EC,
78,SIA/HR/MIS/115147/2019,SEIAA/HR/19/197 hard copy has to be submitted,Affordable Group Housing Colony Project,SIGNATURE INFRABUILD PVT LTD,EC Granted,EC,
79,SIA/HR/INFRA2/413213/2023,SEIAA/HR/2023/304,Affordable Group Housing Colony - Rajvik Greens,SILVER X PROJECTS INDIA PRIVATE LIMITED,EC Granted,EC,
