,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
5359,SIA/TN/MIN/28082/2016,RCL Pudupalayam Limestone Mine (Extent 49.285 Ha & Production 1.40 MTPA ROM),Non-Coal Mining,06 Jul 2018,06/07/2018,,,,,,,,07/02/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/28082/2016&type=EC&ID=44777
5360,SIA/TN/MIN/431092/2023,Thiru.G.Eswaran Rough Stone Quarry,Non-Coal Mining,27 May 2023,27/05/2023,18/11/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/431092/2023&type=EC&ID=220439
5361,SIA/TN/MIN/431530/2023,"S.Mylsamy, Rough stone and Gravel quarry from over an Extent of 1.33.5Ha in S.F.No. 101/6, 101/7 &101/8 at Arachalur Village of Modakurichi Taluk, Erode District",Non-Coal Mining,30 May 2023,30/05/2023,22/11/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/431530/2023&type=EC&ID=220616
5362,SIA/TN/MIN/431673/2023,"M.Jayavel, Rough stone quarry from over an Extent of 1.00.0Ha in S.F.No. 6/2 (Part-2) at Sangeethapatty Village of Omalur Taluk, Salem District, Tamilnadu",Non-Coal Mining,31 May 2023,31/05/2023,22/11/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/431673/2023&type=EC&ID=220673
5363,SIA/TN/MIN/421809/2023,"M/s. YESAAREX, Olaipadi(West) Limestone Mine EXTENT : 3.42.5ha S.F.NO : 219/1 Olaipadi Village, Kunnam Taluk, Perambalur District ",Non-Coal Mining,19 Apr 2023,12/03/2023,,,19/04/2023,19/04/2023,19/04/2023,05/05/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/421809/2023&type=EC&ID=217534
5364,SIA/TN/MIN/431472/2023,PURAVIPALAYAM VILLAGE ROUGH STONE AND GRAVEL QUARRY LEASE,Non-Coal Mining,16 Aug 2023,07/06/2023,,,16/08/2023,16/08/2023,16/08/2023,12/09/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/431472/2023&type=EC&ID=221025
5365,SIA/TN/MIN/241678/2021,Tmt B.Pandiselvi Rough Stone Quarry,Non-Coal Mining,25 May 2022,01/12/2021,,,26/02/2022,25/05/2022,25/05/2022,16/06/2022,,15/04/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/241678/2021&type=EC&ID=194050
5366,SIA/TN/MIN/431083/2023,"K. Jayalakshmi Rough Stone Quarry, Extent: 1.00.0 Ha, S.F.No: 39(P), Santhiyur Village, Salem Taluk, Salem District",Non-Coal Mining,04 Oct 2023,27/05/2023,,,25/09/2023,25/09/2023,04/10/2023,01/11/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/431083/2023&type=EC&ID=220432
5367,SIA/TN/MIN/431155/2023,Thiru.C.Venkatathri Rough stone Quarry over a total extent of 2.31.75 Ha in Mugalur Village,Non-Coal Mining,27 May 2023,27/05/2023,18/11/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/431155/2023&type=EC&ID=220463
5368,SIA/TN/MIN/431186/2023,"Thiru S.Subramani - Rough stone quarry from over an Extent of 1.00.0Ha in S.F.No. 855/1(Part-4) at Sampalli Village of Mettur Taluk, Salem District",Non-Coal Mining,27 May 2023,27/05/2023,22/11/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/431186/2023&type=EC&ID=220484
5369,SIA/TN/MIN/406271/2022,Kottaiyur Vliiage Rough stone and Gravel Project ,Non-Coal Mining,12 Nov 2022,12/11/2022,,,11/02/2023,,,11/02/2023,,03/03/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/406271/2022&type=EC&ID=212544
5370,SIA/TN/MIN/142334/2020,"R. Ranjithkumar, New Earth Quarry Project over an Extent of 3.00.0Ha in S.F.No. 175 (Pullanerikulam) Govt. Poramboke Tank (PWD Tank=20-65.0Ha) at Karungulam Village of Radhapuram Taluk, Tirunelveli Di",Non-Coal Mining,11 Feb 2020,11/02/2020,29/10/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/142334/2020&type=EC&ID=89124
5371,SIA/TN/MIN/31982/2015,"P. Ganapathy, Rough
stone quarry for over an extent of 1.50.0Ha located in S.F.No. 12/4 of R.Pudupalayam Village in
Rasipuram Taluk, Namakkal District",Non-Coal Mining,20 Oct 2015,20/10/2015,,,11/02/2017,,,13/02/2017,10/07/2017,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/31982/2015&type=EC&ID=1639
5372,SIA/TN/MIS/76002/2021,PROPOSED DEVELOPMENT OF SIPCOT INDUSTRIAL PARK – Marudhandapalli OVER AN EXTENT OF 413.705 Ha (1021.851 Acres).,INFRA-2,25 May 2022,21/04/2022,,,19/05/2022,25/05/2022,25/05/2022,16/06/2022,,19/07/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIS/76002/2021&type=EC&ID=202393
5373,SIA/TN/MIN/432790/2023,KADAPPASANDAMPATTI VILLAGE GREY GRANITE QUARRY LEASE,Non-Coal Mining,16 Aug 2023,10/06/2023,,,16/08/2023,16/08/2023,16/08/2023,12/09/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/432790/2023&type=EC&ID=221215
5374,SIA/TN/MIN/433248/2023,"S. Satheeshkumar, Rough stone quarry from over an Extent of 1.00.0Ha in S.F.No. 383/2B (P) at Erumapalayam Village of Salem Taluk, Salem District",Non-Coal Mining,13 Jun 2023,13/06/2023,22/11/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/433248/2023&type=EC&ID=221322
5375,SIA/TN/MIN/433376/2023,66-Mettupati village Rough stone Quarry (Extent: 2.00.0 Ha),Non-Coal Mining,23 Aug 2023,15/06/2023,,,21/08/2023,21/08/2023,23/08/2023,14/09/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/433376/2023&type=EC&ID=221445
5376,SIA/TN/MIS/281315/2022,"Proposed Multistoried Residential project with total built up area of 1,30,998.60 Sq.m",INFRA-2,21 Sep 2022,02/07/2022,,,13/09/2022,19/09/2022,21/09/2022,26/09/2022,,20/12/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIS/281315/2022&type=EC&ID=208355
5377,SIA/TN/MIN/58095/2020,,Non-Coal Mining,15 Nov 2022,20/09/2022,,,15/11/2022,15/11/2022,15/11/2022,28/11/2022,,20/01/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/58095/2020&type=EC&ID=210444
5378,SIA/TN/MIS/73405/2022,,INFRA-2,13 Jan 2023,29/08/2022,,,02/01/2023,02/01/2023,13/01/2023,30/01/2023,,14/02/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIS/73405/2022&type=EC&ID=210620
5379,SIA/TN/MIN/30697/2015,"B2- Rough stone and Gravel quarry,3.70.0 Hec (Out of 4.46.5Ha) in S.F.No. 79(P) in 14-Muthur Village of Pollachi Taluk, Coimbatore District, Tamil Nadu. ",Non-Coal Mining,05 Sep 2015,05/09/2015,,,11/02/2017,,,13/02/2017,17/02/2017,01/12/2015,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/30697/2015&type=EC&ID=786
5380,SIA/TN/MIN/430839/2023,Tmt. M. Nathiya Rough Stone Quarry over a total extent of 2.00.0 Ha in Soolamalai Village,Non-Coal Mining,26 May 2023,26/05/2023,18/11/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/430839/2023&type=EC&ID=220343
5381,SIA/TN/MIN/428349/2023,PINNALVADI VILLAGE ROUGH STONE AND GRAVEL QUARRY LEASE,Non-Coal Mining,05 Jul 2023,08/05/2023,,,04/07/2023,04/07/2023,05/07/2023,21/07/2023,,25/09/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/428349/2023&type=EC&ID=219460
5382,SIA/TN/INFRA2/429313/2023,Proposed Construction of Educational Institutional Building by M/s. SSN Trust,INFRA-2,08 Aug 2023,16/05/2023,,,06/07/2023,13/07/2023,08/08/2023,11/08/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/INFRA2/429313/2023&type=EC&ID=219719
5383,SIA/TN/INFRA2/429439/2023,Construction of New Building for Collectorate and Other Offices in Tenkasi Town at Tenkasi District,INFRA-2,16 May 2023,16/05/2023,18/07/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/INFRA2/429439/2023&type=EC&ID=219761
5384,SIA/TN/NCP/72427/2018,"Proposed Residential Development ""Onyx Park""",INFRA-1,23 Jan 2018,23/01/2018,,,16/02/2018,12/05/2018,13/06/2018,30/08/2018,30/08/2018,19/06/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/NCP/72427/2018&type=EC&ID=42103
5385,SIA/TN/MIN/268058/2022,ROUGH STONE AND GRAVEL QUARRY OF THIRU.U.SHIRAS EDAVAN KUZHI,Non-Coal Mining,07 Jul 2022,19/04/2022,,,10/06/2022,06/07/2022,07/07/2022,29/07/2022,,17/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/268058/2022&type=EC&ID=202191
5386,SIA/TN/MIN/133366/2019,"S.K.Yoganathan, Rough stone and Gravel Quarry Project over an Extent of 2.16.0Ha in S.F.Nos. 1050/4A, 1050/5, 1050/6A, etc  at Kanjikovil Village, Perundurai Taluk, Erode District",Non-Coal Mining,25 Dec 2019,25/12/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/133366/2019&type=EC&ID=83827
5387,SIA/TN/INFRA2/410864/2022,Expansion for Hospital building  by M/s ARR Charitable Trust ,INFRA-2,23 Feb 2023,17/12/2022,,,20/02/2023,20/02/2023,23/02/2023,15/03/2023,,28/07/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/INFRA2/410864/2022&type=EC&ID=213997
5388,SIA/TN/MIN/127678/2019,Savudu Quarry of Thiru. E.Elangovan,Non-Coal Mining,11 Dec 2019,27/11/2019,11/12/2019,11/12/2019,16/06/2020,,,09/07/2020,21/10/2020,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/127678/2019&type=EC&ID=77473
5389,SIA/TN/INFRA2/428642/2023,"Proposed expansion of hospital buildings located at S.F. No. 298, 300/2, 306, 307pt, 308pt, 499, 500, 501 & 502pt, Sowripalayam village, Coimbatore South Taluk, Coimbatore District",INFRA-2,28 Jul 2023,11/05/2023,,,06/07/2023,13/07/2023,28/07/2023,02/08/2023,,18/08/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/INFRA2/428642/2023&type=EC&ID=219588
5390,SIA/TN/MIN/264385/2022,"M.Vinukumar, Rough stone and Gravel Quarry",Non-Coal Mining,16 Dec 2022,07/04/2022,06/07/2022,10/11/2022,22/11/2022,22/11/2022,16/12/2022,23/12/2022,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/264385/2022&type=EC&ID=201215
5391,SIA/TN/MIN/225910/2021,Rough Stone Quarry of M/s. SKS Builders and Promoters,Non-Coal Mining,23 Aug 2021,23/08/2021,,,07/10/2021,,,23/02/2022,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/225910/2021&type=EC&ID=190404
5392,SIA/TN/MIN/53295/2016,"C.Rabeek Raja, Multi Coloured
Granite quarry from over an Extent of 1.04.0Ha in S.F.No. 15/16, 15/17, 15/18, 15/19, 9/9,
9/10, 9/11, 9/12, 9/13, 9/14, 9/15, 9/2, 9/4A and 7/14B, 14C and 14D at Panangudi Village
of Illuppur Taluk, Pudukkottai Distr",Non-Coal Mining,29 Apr 2016,29/04/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/53295/2016&type=EC&ID=19717
5393,SIA/TN/MIN/431212/2023,"Rough Stone Quarry Project Belongs to N.Gopal Extent: 1.16.5ha S.F.No. 790/1B and 792/1(P) Sokkanur Village, Kinathukadavu Taluk, Coimbatore District",Non-Coal Mining,28 May 2023,28/05/2023,22/11/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/431212/2023&type=EC&ID=220496
5394,SIA/TN/MIN/431226/2023,"L.Nagamanickam Rough Stone and Gravel Quarry, Extent-0.98.5 ha, S.F.No.141/B(Part), Muthur village, Kinathukadavu Taluk, Coimbatore District",Non-Coal Mining,28 May 2023,28/05/2023,22/11/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/431226/2023&type=EC&ID=220502
5395,SIA/TN/MIN/431234/2023,"A.Manickam Rough Stone Quarry, Extent-1.00.0 ha, S.F.No 614/2(Part), Kadaiyampatti North, Kadaiyampatti talukm, Salem District",Non-Coal Mining,28 May 2023,28/05/2023,22/11/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/431234/2023&type=EC&ID=220504
5396,SIA/TN/MIN/431231/2023,Inamkulathur Village Rough Stone Mining Lease,Non-Coal Mining,28 May 2023,28/05/2023,22/11/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/431231/2023&type=EC&ID=220511
