,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
20,SIA/RJ/MIN/41408/2016,Buri Beri sand stone mine (Q.L N.O 30) Cluster 9,Non-Coal Mining,18 Jan 2016,18/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41408/2016&type=EC&ID=10226
21,SIA/RJ/MIN/41445/2016,Quartz Feldspar and Mica Project ML No 48/2005,Non-Coal Mining,18 Jan 2016,18/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41445/2016&type=EC&ID=10261
22,SIA/RJ/MIN/55167/2016,BALESAR SANDSTONE MINING PROJECT (QL No 646) Kalore-A Quarry Boundary),Non-Coal Mining,01 Jun 2016,01/06/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/55167/2016&type=EC&ID=21412
23,SIA/RJ/MIN/140413/2020,"Shri Panna Lal Dhakar, Devi Niwas Sand Stone Mining Project (Q. L. No. - 03/2019)",Non-Coal Mining,14 Feb 2020,14/02/2020,,,13/03/2020,,,20/11/2020,22/01/2021,05/02/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/140413/2020&type=EC&ID=86641
24,SIA/RJ/MIN/140500/2020,"Shri Tej Parkash Kothari, Co-applicant Shri Ashok Kumar Bohara & Shri Mahesh Bulchandani, Kakrod Granite Mining Project (M.L. No.- 102/2018)",Non-Coal Mining,15 Feb 2020,15/02/2020,,,13/03/2020,,,20/11/2020,22/01/2021,05/02/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/140500/2020&type=EC&ID=86667
25,SIA/RJ/NCP/65878/2017,"Affordable Housing project ""Medha Apartments"" located At
Village Kanota, Tehsil Bassi, Jaipur, Rajasthan",INFRA-1,04 Jul 2017,04/07/2017,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/NCP/65878/2017&type=EC&ID=35728
26,SIA/RJ/MIS/65901/2017,"Group Housing Project ""ARG Ananta-II""",INFRA-2,03 Jul 2017,03/07/2017,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIS/65901/2017&type=EC&ID=35733
27,SIA/RJ/MIN/139036/2020,"Masonry Stone STP project (STP Ref No 20191000012010,  Khasra No. 74)",Non-Coal Mining,30 Jan 2020,30/01/2020,30/01/2020,30/01/2020,06/02/2020,,,24/02/2020,04/05/2020,15/05/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/139036/2020&type=EC&ID=86274
28,SIA/RJ/MIN/139231/2020,Shri Mahendra Singh Champapur  Sandstone Mining Project   (QL No.-C),Non-Coal Mining,28 Jan 2020,28/01/2020,,,06/02/2020,,,27/10/2020,,19/01/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/139231/2020&type=EC&ID=86334
29,SIA/RJ/MIN/54686/2016, SANDSTONE MINING PROJECT (Q.L. No. 1378) BHOMIYA JI KA THAN,Non-Coal Mining,30 May 2016,30/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54686/2016&type=EC&ID=20968
