,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
1421,SIA/RJ/MIN/54765/2016,Sandstone mining project ( Q L NO. 1545 ) BHOMIYA JI KA THAN,Non-Coal Mining,31 May 2016,31/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54765/2016&type=EC&ID=21048
1422,SIA/RJ/MIN/54766/2016,"SANDSTONE MINING PROJECT (Q.L. No. 1566)
BHOMIYA JI KA THAN QUARY BOUNDARY",Non-Coal Mining,31 May 2016,31/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54766/2016&type=EC&ID=21049
1423,SIA/RJ/MIN/50849/2016,RAWARDA SANDSTONE  MINE (Q.L. NO-306/04),Non-Coal Mining,01 Mar 2016,01/03/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/50849/2016&type=EC&ID=14628
1424,SIA/RJ/MIN/94255/2019,"Proposed Masonry Stone STP-18, (STP Area- 0.9801 Hectare) Khasra No.–355/2 at Near Village Bitnokh, Tehsil- Kolayat, District- Bikaner (Rajasthan) by applicant M/S G.R. Infra Projects Limited.",Non-Coal Mining,04 Feb 2019,04/02/2019,,,14/02/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/94255/2019&type=EC&ID=52569
1425,SIA/RJ/MIS/61017/2016,Shubh Aangan Pusph,INFRA-2,10 Dec 2016,10/12/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIS/61017/2016&type=EC&ID=33095
1426,SIA/RJ/MIN/77273/2018,JETHA RAM REF NO 201811588 NEAR VILLAGE 4KLM-B SRIGANGANAGAR,Non-Coal Mining,31 Aug 2018,31/08/2018,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/77273/2018&type=EC&ID=45454
1427,SIA/RJ/MIN/36926/2015,Bansarai Sandstone mine 3/1992,Non-Coal Mining,30 Dec 2015,30/12/2015,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/36926/2015&type=EC&ID=6049
1428,SIA/RJ/MIN/49821/2016,SAWA OLD LIMESTONE KHANDA FARSI Q.L. AREA PLOT NO.-1,Non-Coal Mining,17 Feb 2016,17/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/49821/2016&type=EC&ID=13614
1429,SIA/RJ/MIN/50094/2016," Masonary Stone Area, STP No. 1,",Non-Coal Mining,20 Feb 2016,20/02/2016,,,12/04/2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/50094/2016&type=EC&ID=13963
1430,SIA/RJ/MIN/50155/2016,"Masonary Stone Area, STP No. 4",Non-Coal Mining,22 Feb 2016,22/02/2016,,,12/04/2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/50155/2016&type=EC&ID=14016
1431,SIA/RJ/MIN/58051/2016,"RAVI KUMAR SUKHWAL
RED OCHER & CHINA CLAY MINING PROJECT,  M.L. NO.-74/2007, AREA-4.80 HA., N/V-HATIPURA, BHADESAR, CHITTORGARH, RAJASTHAN",Non-Coal Mining,02 Aug 2016,02/08/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/58051/2016&type=EC&ID=24057
1432,SIA/RJ/MIN/58135/2016,"Boyal  Limestone Mine 
M.L. No. 164/1991",Non-Coal Mining,05 Aug 2016,05/08/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/58135/2016&type=EC&ID=24130
1433,SIA/RJ/MIN/138019/2020,"Masonry Stone Mining Project (STP Area 0.99 ha and Reference No. 2019100008015) with production capacity of 1,71,675 TPA located Near Village Chainpura, Tehsil – Phalodi, Distt- Jodhpur (Rajasthan)  b",Non-Coal Mining,21 Jan 2020,21/01/2020,29/01/2022,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/138019/2020&type=EC&ID=86004
1434,SIA/RJ/MIN/41523/2016,"Pandru Quartz & Feldspar Mining Project (ML No-126/2006) District Bhilwara
State	Rajasthan
",Non-Coal Mining,19 Jan 2016,19/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41523/2016&type=EC&ID=10332
1435,SIA/RJ/MIN/163390/2020,"Granite Mining Project, ML No. 97/2019 (Ref. No. 20191000010811)",Non-Coal Mining,20 Jul 2020,14/07/2020,16/07/2020,20/07/2020,06/08/2020,,,11/01/2021,09/04/2021,25/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/163390/2020&type=EC&ID=116102
1436,SIA/RJ/MIN/41069/2016,"Send stone minning Project
ML No.-9/1992
Area-2.06Hect.
Lessee-Arun Singh",Non-Coal Mining,15 Jan 2016,15/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41069/2016&type=EC&ID=9899
1437,SIA/RJ/MIN/57762/2016,"Marble Mining Project of M/s Laxmi Marble Mines at N/v- Kola Dungri Range, Mored, Tehsil- Makrana, District- Nagaur (Rajasthan)",Non-Coal Mining,24 Jul 2016,24/07/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/57762/2016&type=EC&ID=23788
1438,SIA/RJ/MIN/139103/2020,Delana Quartz & Feldspar Mine,Non-Coal Mining,29 Jan 2020,29/01/2020,,,06/02/2020,,,03/11/2020,,18/01/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/139103/2020&type=EC&ID=86296
1439,SIA/RJ/MIN/54716/2016,BALESAR SANDSTONE MINING PROJECT(Q.L.No-454) ,Non-Coal Mining,30 May 2016,30/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54716/2016&type=EC&ID=20998
1440,SIA/RJ/MIN/54724/2016,Khatedari Naya Nagar 1,Non-Coal Mining,30 May 2016,30/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54724/2016&type=EC&ID=21007
1441,SIA/RJ/MIN/54751/2016,"SANDSTONE MINING PROJECT (Q.L. No. 1867)
BHOMIYA JI KA THAN Q.L. BOUNDARY",Non-Coal Mining,31 May 2016,31/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54751/2016&type=EC&ID=21034
1442,SIA/RJ/MIN/182650/2020,"“Granite (Minor Mineral) Mining Project” [M.L. No. 9/2019 (Ref. No.-2019100003067)] Near Village-Alniyawas, Tehsil –Riyabadi, District – Nagaur (Rajasthan) over an area of 2.0345 Ha. with proposed Production Capacity of 149040 TPA (ROM) by M/s Ramji ",Non-Coal Mining,09 Nov 2020,09/11/2020,,,05/01/2021,,,15/03/2021,29/12/2021,15/06/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/182650/2020&type=EC&ID=142691
1443,SIA/RJ/MIN/44625/2019,"Bhankri Masonry Stone Mining Project, ML No 562/2002, Production Capacity: 123150 TPA, Area:1.0 Ha, Near Village: Bhankri, Tehsil: Rajgarh, District: Alwar, Rajasthan",Non-Coal Mining,18 Oct 2019,18/10/2019,17/10/2019,18/10/2019,05/11/2019,,,19/08/2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/44625/2019&type=EC&ID=68655
