,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
49,SIA/OR/MIN/408894/2022,Expansion in production capacity of Chromite mineral from 3 Lakh TPA to 6 Lakh TPA from Mahagiri mine (Chromite) of M/s Indian Metals & Ferro Alloys Limited,Non-Coal Mining,28-Dec-22,03-12-2022,27-12-2022,28-12-2022,28-12-2022,,,05-01-2023,,10-10-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/408894/2022&type=EC&ID=213489
50,SIA/OR/MIN/417777/2023,"LAXMIPUR SAND QUARRY OVER AN AREA OF 12.959 ACRES/ 5.244HA. AT VILLAGE - LAXMIPUR, TAHASIL- DHARAKOTE, DISTRICT-GANJAM, ODISHA BY SMT. KALPANA NAYAK ",Non-Coal Mining,27-Mar-23,10-02-2023,27-03-2023,27-03-2023,28-03-2023,,,15-04-2023,,07-09-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/417777/2023&type=EC&ID=216378
51,SIA/OR/MIN/418587/2023,APPLICATION FOR FRESH ENVIRONMENTAL CLEARANCE FOR KHAIRMAL STONE QUARRY-2 OVER AN AREA 2.29 AC OR 0.93 HA. IN VILLAGE KHAIRMAL UNDER JUJOMURA TAHSIL OF SAMBALPUR DISTRICT OF ODISHA,Non-Coal Mining,18-Feb-23,18-02-2023,,,08-04-2023,,,20-05-2023,,14-07-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/418587/2023&type=EC&ID=216679
52,SIA/OR/MIN/423558/2023,Proposal for fresh Environmental Clearance of Chhenagaon Sand Bed over an area of 12.35 Acres or 5.00 Hectares in village Chhenagaon under Kesinga tahasil of Kalahandi district.,Non-Coal Mining,13-Jul-23,27-03-2023,06-07-2023,13-07-2023,17-07-2023,,,07-08-2023,,04-11-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/423558/2023&type=EC&ID=218046
53,SIA/OR/MIN/429165/2023," Proposal for Fresh EC of Basupali Stone Quarry No-5 over an area of 4.5 Acres or 1.82 Ha having Khata No.14, Plot No. 79,101 in village Basupali under Bolangir Tahasil of Bolangir District, Odisha.",Non-Coal Mining,13-May-23,13-05-2023,,,16-05-2023,,,31-05-2023,,01-07-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/429165/2023&type=EC&ID=219676
54,SIA/OR/IND2/425934/2023,"Proposed production of 1.0 KLD Mahua flower based Out Still Country liquor manufacturing unit of Surangi Main O.S Liquor Shop at- Surangigada, Tahasil- Patrapur, Dist.- Ganjam of the licensee Smt. Sulekha Padhy",Industrial Projects - 2,20-Apr-23,13-04-2023,17-04-2023,20-04-2023,22-04-2023,,,26-06-2023,,24-08-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/425934/2023&type=EC&ID=218747
55,SIA/OR/INFRA2/422946/2023,Residential Apartment Project,INFRA-2,25-Mar-23,21-03-2023,23-03-2023,25-03-2023,27-03-2023,,,20-04-2023,,27-09-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/INFRA2/422946/2023&type=EC&ID=217885
56,SIA/OR/MIN/419481/2023,"Environmental clearance for production of 110000 cum/ annum of sand from Kotadwar Sand Ghat over an area of 20.235 ha, At village- Patugadadharpur, Tahasil-Banki, Cuttack district, Odisha.",Non-Coal Mining,24-Feb-23,24-02-2023,,,28-03-2023,,,15-04-2023,,04-11-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/419481/2023&type=EC&ID=216899
57,SIA/OR/IND1/406696/2022,"Greenfield Project for installation of Cement Grinding Unit of capacity 3.0 MTPA (1.5 MTPA in Phase-1 & 1.5 MTPA in Phase-2) at Village – Byree, Tahasil – Darpan, District – Jajpur, Odisha by M/s. My Home Industries Pvt. Ltd.",Industrial Projects - 1,16-Nov-22,16-11-2022,,,06-12-2022,,,17-12-2022,,23-06-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND1/406696/2022&type=EC&ID=212696
58,SIA/OR/IND2/416925/2023,"Grain and Malt Based Distillery Plant Project of 30 KLPD along with 1.5 MW Co-generation Power Plant located at Village-Barapada, P.O. Garudagaon Tangi, District -Cuttack, Odisha.",Industrial Projects - 2,17-Feb-23,17-02-2023,,,21-02-2023,,,23-02-2023,,26-09-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/416925/2023&type=EC&ID=216665
