,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
2911,SIA/TG/MIN/62180/2021,Sri Muthyreddy Sanjeeva Reddy,Non-Coal Mining,13 Dec 2021,13/12/2021,,,14/12/2021,,,14/12/2021,28/12/2021,15/02/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/62180/2021&type=EC&ID=194549
2912,SIA/TG/MIS/79642/2022,M/s. RS Pasuraa Tellapur Builders LLP,INFRA-2,15 Jul 2022,15/07/2022,,,19/07/2022,,,22/07/2022,,14/10/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/79642/2022&type=EC&ID=208939
2913,SIA/TG/MIN/179824/2020,Sri Rama Stone Crushers LLP,Non-Coal Mining,20 Oct 2020,20/10/2020,,,09/11/2020,,,17/02/2021,18/03/2021,20/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/179824/2020&type=EC&ID=139043
2914,SIA/TG/IND2/175988/2020,Proposed Establishment of Active Pharmaceutical Ingredients (APIs) and API Intermediates Manufacturing unit by M/s. SVK Organics Private Limited,Industrial Projects - 2,30 Sep 2020,30/09/2020,,,12/11/2020,,,20/01/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/IND2/175988/2020&type=EC&ID=134180
2915,SIA/TG/MIS/278809/2022,M/s. Hitec Cyberspazio LLP,INFRA-2,18 Jun 2022,18/06/2022,,,23/06/2022,,,27/06/2022,,02/09/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/278809/2022&type=EC&ID=207762
2916,SIA/TG/INFRA2/413870/2023,Reliance Elysium by M/s Reliance Builders ,INFRA-2,09 Jan 2023,09/01/2023,,,20/01/2023,,,24/01/2023,,06/03/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/413870/2023&type=EC&ID=215120
2917,SIA/TG/MIN/401503/2022,M/s. Gayatri Granites – 0.80 Ha ,Non-Coal Mining,28 Sep 2022,28/09/2022,,,03/10/2022,,,11/10/2022,,17/11/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/401503/2022&type=EC&ID=211034
2918,SIA/TG/IND2/17847/2016,Suven Life Sciences Limited,Industrial Projects - 2,28 Nov 2016,28/11/2016,,,22/12/2016,,,27/12/2016,15/06/2017,18/05/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/IND2/17847/2016&type=EC&ID=32904
2919,SIA/TG/INFRA2/435271/2023,Villas @ Hyderabad by Sattva Group,INFRA-2,30 Jun 2023,30/06/2023,,,20/07/2023,,,20/07/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/435271/2023&type=EC&ID=222179
2920,SIA/TG/MIN/74298/2018,M/s. Venkata Sai Granites,Non-Coal Mining,12 Apr 2018,12/04/2018,17/04/2018,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/74298/2018&type=EC&ID=43460
