Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1066,SIA/BR/NCP/65555/2017,SIA/8(a)/521/17,"Proposed Multi Storeyed Staff Quarters For Patna High Court at Adalatganj, Buddh Marg, Patna",BIHAR STATE BUILDING CONSTRUCTION CORPORATION LTD.,EC Granted,EC,
1067,SIA/BR/MIN/71318/2017,,"Sand Mining Project at Nakti- Mahugain Sand Ghat, on Dhadhar river anchal- Fatehpur, Dist-Gaya, Bihar",WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
1068,SIA/BR/MIN/34092/2019,,Jalhi Patti & Chikni patti Sand Ghat on Vanmadhar River,SUJEET KUMAR,Pending at PP due to eds,EC,
1069,SIA/BR/MIN/160308/2020,,ORDINARY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD MAUZA DHARAMPUR,BSCPL INFRASTRUCTURE LTD MAUZA DHARAMPUR AREA 12.34 AC.,Delisted,EC,
1070,SIA/BR/MIN/70404/2017,SIA/1(a)/529/18,STONE MINING PROJECT AT BLOCK NO-29,RAJ KUMAR SINGH,Delisted,EC,
1071,SIA/BR/MIN/130903/2019,,M/s Radha Bricks,M/S. RADHA BRICKS,Delisted,EC,
1076,SIA/BR/MIN/140089/2020,,ORDINARY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD MAUZA KHIRNIYA,BSCPL INFRASTRUCTURE LTD. MAUZA KHIRNIYA AREA 12.21 AC 4.94 HA,Delisted,EC,
1088,SIA/BR/MIN/129956/2019,,"proposed Brick Earth Mining Project at Vill: Sukumarpur, P.O- Jafrabad, P.S + Block - Raghopur, District- Vaishali, State- Bihar, Area: 1.04 Ha of M/s Radha Bricks",RADHA BRICKS 123,Delisted,EC,
1089,SIA/BR/MIS/106801/2019,SIA/8(a)/690/19,Proposed Samaharnalaya Bhawan Complex,"BUILDING CONSTRUCTION DEPARTMENT, GOVERNMENT OF BIHAR",EC Granted,EC,
1098,SIA/BR/MIS/115168/2019,SIA/8(a)/692/19,"SHRI RAM JANAKI MEDICAL COLLEGE & HOSPITAL AT SAMASTIPUR,  (BIHAR)",DEPARTMENT OF HEALTH GOVERMENT OF BIHAR,EC Granted,EC,
