,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
51,SIA/UK/IND/157559/2020,"Environment Clearance for Lead Acid Battery Manufacturing Unit by M/s Luminous Power Technologies Pvt. Ltd. at Plot No. – 04, Sector – 12, IIE, SIDCUL, Hardwar – 249403, Uttarakhand.",Industrial Projects - 1,13 Jun 2020,13/06/2020,,,13/07/2020,,,29/07/2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND/157559/2020&type=EC&ID=112925
52,SIA/UK/MIN/43474/2018,"Mining of Sand, Bajri and Boulder (Minor Mineral) at Khasra No. 2519 A (Area-6.00 Ha.) in Village- Bhaursha, Tehsil & District-Nainital, Uttarakhand by M/s Shri Satyendra Kumar Tomar",Non-Coal Mining,25 Sep 2019,25/09/2019,,,05/10/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/43474/2018&type=EC&ID=64988
53,SIA/UK/MIN/126518/2019,Chota Maroda RBM Project,Non-Coal Mining,21 Nov 2019,21/11/2019,,,07/12/2019,,,12/12/2019,22/01/2020,14/02/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/126518/2019&type=EC&ID=74236
54,SIA/UK/NCP/143135/2020,"Environmental Clearance for Motor Vehicle Service Center by M/s Berkeley Motors Limited located at Mohabewala Industrial Area, Subhash Nagar Chowk, Sharanpur Road, District Dehradun, Uttarakhand.",INFRA-1,14 Feb 2020,14/02/2020,,,17/02/2020,,,17/02/2020,04/07/2020,21/07/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/143135/2020&type=EC&ID=91288
55,SIA/UK/NCP/159587/2020,"Environment Clearance for Two Wheeler Motor Vehicle Service Center established by M/s Jai Sai Motors, Unit-41 Tilak Road near Nagar Palika Rishikesh- 249201, District Dehradun, Uttarakhand.",INFRA-1,24 Jun 2020,24/06/2020,,,07/07/2020,,,29/07/2020,03/09/2020,28/09/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/159587/2020&type=EC&ID=114160
56,SIA/UK/MIS/207389/2021,M/s Hotel Vasdaa & Banquet Hall,INFRA-2,31 Mar 2021,31/03/2021,,,17/04/2021,,,26/05/2021,15/06/2021,31/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/207389/2021&type=EC&ID=175747
57,SIA/UK/MIS/208093/2021,Proposed Expansion of Hotel Aketa,INFRA-2,06 Apr 2021,06/04/2021,,,17/04/2021,,,26/05/2021,15/06/2021,31/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/208093/2021&type=EC&ID=176926
58,SIA/UK/MIN/60674/2019,"Mining of Proposed Nayal Soapstone Mine from Lease Area (8.490 Ha.) at Village - Nayal, Tehsil & District - Bageshwar, Uttarakhand.",Non-Coal Mining,10 Feb 2021,10/02/2021,,,14/03/2021,,,14/03/2021,05/04/2021,01/01/1900,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/60674/2019&type=EC&ID=163163
59,SIA/UK/MIN/63086/2021,"Proposed Soapstone Mine (Area 4.762 Ha) at Village Loharkhet & Dhapoli, Tehsil Kanda & District Bageshwar, State Uttarakhand by M/S Ganganath Minerals",Non-Coal Mining,31 Oct 2021,31/10/2021,,,01/11/2021,,,03/11/2021,10/11/2021,12/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/63086/2021&type=EC&ID=192814
60,SIA/UK/MIN/31388/1900,"Sand Bajri and Boulder Mining Project, Area 4.298",Non-Coal Mining,30 Sep 2019,30/09/2019,,,01/03/2019,22/05/2019,30/09/2019,,,13/04/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/31388/1900&type=EC&ID=53040
