,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
770,SIA/PB/NCP/71252/2017,PRESTIGE TOWERS,INFRA-1,13 Dec 2017,13/12/2017,07/12/2017,13/12/2017,14/12/2017,,,19/12/2017,30/01/2018,26/02/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/71252/2017&type=EC&ID=40460
771,SIA/PB/MIN/39892/2016,EARTH MINING OF BRICK KILN IN THE REVENUE ESTATE OF VILL. TUNGAN TEHSIL SANGRUR BY RAM PARSHAD BKO SIBIAN,Non-Coal Mining,11 Jan 2016,11/01/2016,15/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/39892/2016&type=EC&ID=8812
772,SIA/PB/MIN/58846/2016,Lubangarh Sand Mining Project,Non-Coal Mining,17 Apr 2017,17/04/2017,03/04/2017,17/04/2017,25/04/2017,,,25/04/2017,01/05/2017,04/05/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/58846/2016&type=EC&ID=27460
773,SIA/PB/MIS/53933/2016,"Expansion of  Estate One Residential Colony
at Village Rajpura Hussainpura and Bhatian 
District Ludhiana 
Eldeco Infrastructure & Properties Ltd",INFRA-2,22 Aug 2016,22/08/2016,10/08/2016,22/08/2016,24/08/2016,,,24/08/2016,09/11/2016,23/11/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/53933/2016&type=EC&ID=20239
774,SIA/PB/INFRA2/403868/2023,"Dolphin Industrial Park (Agro-Based) at Village Jiwanpura, Tehsil and Distt. Fatehgarh Sahib, Punjab by  M/s Dolphin Mercantile Pvt. Ltd",INFRA-2,05 Apr 2023,08/02/2023,,,28/02/2023,27/03/2023,05/04/2023,28/04/2023,,28/09/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/INFRA2/403868/2023&type=EC&ID=216264
775,SIA/PB/MIN/49262/2016,M/s Ganesh BKO,Non-Coal Mining,13 Feb 2016,13/02/2016,17/02/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/49262/2016&type=EC&ID=13065
776,SIA/PB/MIN/61164/2016,Bagghian Sand Mining Project,Non-Coal Mining,04 Apr 2017,04/04/2017,03/04/2017,04/04/2017,11/04/2017,,,11/04/2017,19/04/2017,03/05/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/61164/2016&type=EC&ID=33212
777,SIA/PB/IND3/247434/2021,"M/s Akums Lifesciences Ltd. at Village Chhachrauli, Tehsil Derabassi, Distt. Mohali, Punjab, India.",Industrial Projects - 3,22 Mar 2022,28/12/2021,03/02/2022,11/02/2022,14/02/2022,04/03/2022,22/03/2022,07/04/2022,,08/12/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND3/247434/2021&type=EC&ID=195657
778,SIA/PB/IND2/206464/2021,Virat Life Sciences,Industrial Projects - 2,28 Mar 2021,28/03/2021,,,15/04/2021,,,15/04/2021,04/05/2021,20/05/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND2/206464/2021&type=EC&ID=175422
779,SIA/PB/IND/66130/2021,,Industrial Projects - 1,02 Sep 2022,02/09/2022,12/09/2022,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND/66130/2021&type=EC&ID=210652
780,SIA/PB/MIS/163830/2020,Sarb Sukh Hotels,INFRA-2,12 Oct 2020,16/07/2020,28/08/2020,12/10/2020,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/163830/2020&type=EC&ID=116196
781,SIA/PB/MIS/206597/2021,"Group Housing Project namely “Noble CALLISTA” proposed at Plot No. 1, IT City, Sector-66B SAS Nagar Mohali (Punjab) by M/s NOBLE Dream Projects Pvt. Ltd.",INFRA-2,27 Mar 2021,27/03/2021,,,15/04/2021,,,15/04/2021,04/05/2021,20/05/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/206597/2021&type=EC&ID=175473
782,SIA/PB/IND/25954/2018,M/s Shiva Castings Pvt. Ltd.,Industrial Projects - 1,09 May 2021,09/05/2021,,,19/05/2021,,,19/05/2021,11/06/2021,13/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND/25954/2018&type=EC&ID=184546
783,SIA/PB/MIS/253518/2022,"Group Housing project namely “Sheesh Mahal Skyline” in pocket A of the already existing residential colony namely Sheesh Mahal on Dabwali road, Bhatinda, Punjab by M/s Sheesh Mahal Developers Ltd.",INFRA-2,17 Feb 2022,27/01/2022,,,02/02/2022,15/02/2022,17/02/2022,21/02/2022,,07/09/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/253518/2022&type=EC&ID=198414
784,SIA/PB/MIS/153794/2020,SUSHMA BELLEZA,INFRA-2,31 Aug 2020,20/05/2020,19/08/2020,31/08/2020,22/09/2020,,,23/09/2020,29/10/2020,05/11/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/153794/2020&type=EC&ID=105901
785,SIA/PB/IND/22600/2018,Steel manufacturing unit for increasing the production capacity to 1000 TPD.,Industrial Projects - 1,06 Apr 2019,06/04/2019,,,24/04/2019,,,06/05/2019,05/09/2019,20/05/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND/22600/2018&type=EC&ID=54557
786,SIA/PB/IND/63190/2021,"Proposed Steel manufacturing unit namely “M/s SG Metals and Steels India Pvt. Ltd.” at Village Shahpur, Khanna-Amloh Road, Tehsil Amloh, Mandi Gobindgarh, Distt. Fatehgarh Sahib, Punjab.",Industrial Projects - 1,01 Feb 2022,29/12/2021,06/01/2022,08/01/2022,10/01/2022,28/01/2022,01/02/2022,07/02/2022,14/02/2022,02/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND/63190/2021&type=EC&ID=195531
787,SIA/PB/INFRA2/429960/2023,"Expansion of SUNTEC CITY by M/s.The India Co-op Housing building society LTD located at village Palheri (H.B. No. 173), Tehsil-Kharar and village Raihmanpur (H.B. No.172), Tehsil-Majri, District-SAS Nagar, New Chandigarh, Punjab",INFRA-2,05 Jul 2023,20/05/2023,,,23/06/2023,03/07/2023,05/07/2023,21/07/2023,,11/08/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/INFRA2/429960/2023&type=EC&ID=219966
788,SIA/PB/MIS/136535/2020,carpe diem,INFRA-2,11 Jan 2020,11/01/2020,,,07/02/2020,,,02/03/2020,06/04/2020,29/07/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/136535/2020&type=EC&ID=85644
789,SIA/PB/MIS/253790/2022,Expansion of Warehouse Project (Agro and Non-Agro based),INFRA-2,22 Mar 2022,28/01/2022,03/02/2022,08/02/2022,09/02/2022,21/03/2022,22/03/2022,25/03/2022,01/04/2022,12/05/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/253790/2022&type=EC&ID=198497
790,SIA/PB/MIN/178189/2020,Behak Gujjran Sand mining project,Non-Coal Mining,09 Oct 2020,09/10/2020,,,22/10/2020,,,22/10/2020,29/10/2020,05/11/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/178189/2020&type=EC&ID=137693
791,SIA/PB/MIN/149277/2020,"Chak Gariban Sandar Sand Mining Project at Village- Chak Gariban Sandar, Tehsil- Jalalabad, District-Fazilka",Non-Coal Mining,30 Sep 2020,16/03/2020,24/03/2020,02/07/2020,08/07/2020,18/08/2020,30/09/2020,15/10/2020,29/10/2020,05/11/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/149277/2020&type=EC&ID=99700
792,SIA/PB/MIN/148557/2020,"“Jevanwal Gravel Mine” Block No. –4, Hadbast No. –299, having total area  of 4.25hectare (Non- Forest), khasra no - 5//22/1(2-4),22/2(5-16),23(8-0),24(8-0)12//1(8-0),2(8-0),3(8-0),4(8-0),7(8-0),9(6-0)",Non-Coal Mining,31 Aug 2020,13/03/2020,31/08/2020,31/08/2020,31/08/2020,,,31/08/2020,12/09/2020,09/10/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/148557/2020&type=EC&ID=98516
793,SIA/PB/NCP/90237/2019,"Group Housing Project “MUIRWOODS ECO-GLADES” in Residential Township (“MUIRWOODS ECOCITY”), New Chandigarh, District SAS Nagar (Mohali), Punjab by M/s. Altus Space Builders Pvt. Ltd.",INFRA-1,13 Jan 2023,23/07/2019,01/10/2021,08/10/2021,12/10/2021,21/10/2021,13/01/2023,03/02/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/90237/2019&type=EC&ID=51447
794,SIA/PB/MIS/153867/2020,AMAYRA LUXURY ONE,INFRA-2,13 Oct 2020,21/05/2020,13/10/2020,13/10/2020,13/10/2020,,,16/10/2020,29/10/2020,05/11/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/153867/2020&type=EC&ID=105919
795,SIA/PB/IND3/245929/2021,"Proposed API Manufacturing Unit ""M/s Valence Labs Private Limited' at village- Jansui, Tehsil- Rajpura, District- Patiala, Punjab",Industrial Projects - 3,02 Feb 2022,18/12/2021,22/12/2021,31/12/2021,03/01/2022,17/01/2022,02/02/2022,07/02/2022,14/02/2022,28/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND3/245929/2021&type=EC&ID=195213
796,SIA/PB/MIN/421126/2023,"Proposed Sand Mining (boulder, gravel, sand) project as per approved DSR No. SEIAA/MS/2022/1318 with production capacity of 28471 TPA over an area of 4.70 ha on the agricultural bed/patta land located at Village- Aalowal, Tehsil Rupnagar, District Rupnagar, Punjab through XEN/DMO District Rupnagar Govt. of Punjab",Non-Coal Mining,07 Mar 2023,07/03/2023,,,17/03/2023,,,29/03/2023,,01/01/2024,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/421126/2023&type=EC&ID=217317
797,SIA/PB/NCP/63302/2017,ROYAL FAME II,INFRA-1,23 Mar 2017,23/03/2017,21/03/2017,23/03/2017,25/03/2017,,,01/04/2017,17/04/2017,03/05/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/63302/2017&type=EC&ID=34606
798,SIA/PB/NCP/73356/2018,"Group Housing Project namely “Ambika Homes” located at Site No. 2, IT City, Sector 66-Beta, S.A.S. Nagar (Mohali), Punjab by M/s. Ambika Realcon Pvt. Ltd.",INFRA-1,07 Mar 2018,07/03/2018,,,28/03/2018,,,09/04/2018,01/05/2018,24/05/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/73356/2018&type=EC&ID=42770
799,SIA/PB/MIN/42280/2016,Mining of Brick Earth in Village by M/s Punjab Bricks,Non-Coal Mining,25 Jan 2016,25/01/2016,17/02/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/42280/2016&type=EC&ID=11030
800,SIA/PB/MIN/35956/2015,"Mining of brick earth in an area of  1.77 hectares of total 2.4 hectares of land(upto a depth of 0.9 m only).Out of total 2.4 hectares of land in lease deed,0.62 hectares of land was excavated upto 3 feet till 29.7.2015(Date on which previous EC expi",Non-Coal Mining,25 Dec 2015,25/12/2015,17/02/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/35956/2015&type=EC&ID=5091
801,SIA/PB/MIN/49065/2016,M/s. Arora & Co. BKO Village:- Khara  Tehsil Kotkapura Distt. Faridkot  (Punjab)  ,Non-Coal Mining,11 Feb 2016,11/02/2016,17/02/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/49065/2016&type=EC&ID=12872
802,SIA/PB/MIN/38168/2016,SS BKO MINING SITE AT KOTKAPURA FARIDKOT,Non-Coal Mining,05 Jan 2016,05/01/2016,08/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/38168/2016&type=EC&ID=7293
803,SIA/PB/MIN/446866/2023,Marara Sand Mining Project over an extent of 1.60Ha.,Non-Coal Mining,11 Oct 2023,07/10/2023,09/10/2023,11/10/2023,12/10/2023,,,20/10/2023,,01/01/2024,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/446866/2023&type=EC&ID=226483
804,SIA/PB/MIN/33615/2015,"DIC-Sand mining project at village- kot karor kalan, firozpur",Non-Coal Mining,24 Dec 2015,24/12/2015,19/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/33615/2015&type=EC&ID=2995
805,SIA/PB/NCP/76175/2018,Affordable group housing,INFRA-1,12 Aug 2018,12/08/2018,14/08/2018,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/76175/2018&type=EC&ID=45289
806,SIA/PB/NCP/57431/2016,commercial project developed by Barnala builders,INFRA-1,13 Jul 2016,13/07/2016,,,15/07/2016,,,15/07/2016,30/07/2016,22/08/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/57431/2016&type=EC&ID=23492
807,SIA/PB/MIN/40696/2016,"M/S SURINDER MOHAN & CO. MINING SITE AT AGWARD KASHMIRI, KOTKAPURA",Non-Coal Mining,13 Jan 2016,13/01/2016,15/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/40696/2016&type=EC&ID=9547
808,SIA/PB/NCP/81359/2018,"Expansion of Residential Project namely “Rajgadh  Estates Phase-II & Phase-II Ext.” at Village Birmi, Ludhiana, Punjab by M/s. Dev Arjuna Promoters & Developers (P) Ltd.",INFRA-1,02 Nov 2019,02/11/2019,10/12/2019,02/11/2019,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/81359/2018&type=EC&ID=46113
809,SIA/PB/MIN/40986/2016,M/S ASHOK KUMAR BANSAL BKO MANSA TEHSIL AND DISTT. MANSA,Non-Coal Mining,16 Jan 2016,16/01/2016,17/02/2016,16/01/2016,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/40986/2016&type=EC&ID=9821
810,SIA/PB/MIN/42321/2016,ANIL AND CO VILLAGE KHUDAL KALAN TEHSIL BUDHLADA DISTT MANSA,Non-Coal Mining,26 Jan 2016,26/01/2016,17/02/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/42321/2016&type=EC&ID=11070
811,SIA/PB/MIN/61266/2016,Heatewal Sand Mining Project,Non-Coal Mining,06 Apr 2017,06/04/2017,03/04/2017,06/04/2017,11/04/2017,,,11/04/2017,19/04/2017,03/05/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/61266/2016&type=EC&ID=33283
812,SIA/PB/MIN/37489/2015,BANSAL BROS BKO MINING SITE AT ,Non-Coal Mining,31 Dec 2015,31/12/2015,02/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/37489/2015&type=EC&ID=6583
813,SIA/PB/MIN/60652/2016,Boont Sand Mining Project,Non-Coal Mining,06 Apr 2017,06/04/2017,08/12/2016,06/04/2017,11/04/2017,,,11/04/2017,01/05/2017,04/05/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/60652/2016&type=EC&ID=32860
814,SIA/PB/MIS/103833/2019,HLP GALLERIA,INFRA-2,09 May 2019,09/05/2019,01/05/2019,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/103833/2019&type=EC&ID=55257
815,SIA/PB/MIS/256715/2022,PATIALA HEIGHTS,INFRA-2,28 Feb 2022,15/02/2022,23/02/2022,28/02/2022,02/03/2022,,,11/03/2022,19/03/2022,11/04/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/256715/2022&type=EC&ID=199218
816,SIA/PB/MIN/438245/2023,"Kaila Sand Mining Project, Executive Engineer/Ferozepur, Drainage-Cum-Mining & Geology Division Water Resources Department, Ferozepur, Punjab",Non-Coal Mining,27 Jul 2023,27/07/2023,,,07/08/2023,,,18/08/2023,,16/10/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/438245/2023&type=EC&ID=223253
817,SIA/PB/MIN/38200/2016,brick earth mining,Non-Coal Mining,05 Jan 2016,05/01/2016,07/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/38200/2016&type=EC&ID=7324
818,SIA/PB/NCP/16518/2016,World Trade Centre Commercial project,INFRA-1,25 Jun 2016,25/06/2016,,,29/06/2016,,,29/06/2016,30/07/2016,22/08/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/16518/2016&type=EC&ID=22854
819,SIA/PB/INFRA2/434732/2023,"Proposed Residential Plotted Colony at Village: Lalton Kalan, Tehsil & District: Ludhiana, Punjab by M/s Eldeco Maksad Properties Limited.",INFRA-2,03 Jul 2023,03/07/2023,,,03/08/2023,,,01/12/2023,,04/01/2024,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/INFRA2/434732/2023&type=EC&ID=222243
820,SIA/PB/MIN/42507/2016,Sand Mining Project at Village-Dhandian,Non-Coal Mining,17 Feb 2016,17/02/2016,17/02/2016,17/02/2016,23/02/2016,,,23/02/2016,09/03/2016,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/42507/2016&type=EC&ID=11247
821,SIA/PB/NCP/62520/2017,UMBERA GREEN,INFRA-1,15 Feb 2017,15/02/2017,15/02/2017,15/02/2017,16/02/2017,,,22/02/2017,14/03/2017,24/04/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/62520/2017&type=EC&ID=34152
822,SIA/PB/NCP/87900/2018,UMBERA HOMEZ,INFRA-1,02 Jan 2019,02/01/2019,22/12/2018,02/01/2019,21/01/2019,,,06/02/2019,10/06/2019,22/08/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/87900/2018&type=EC&ID=50986
823,SIA/PB/MIS/265451/2022,"Commercial Project “Mohali Citi Centre Walk” (5.69 acres) at Pocket No. 2, Block-E, Aerocity, SAS Nagar, Punjab by KLG Infra.",INFRA-2,04 Oct 2022,01/04/2022,,,12/04/2022,27/09/2022,04/10/2022,07/10/2022,,22/11/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/265451/2022&type=EC&ID=201516
824,SIA/PB/IND2/31084/2017,Expansion of Sugar Mill (7000 TCD to 12000 TCD) and Co-generation power plant 37MW,Industrial Projects - 2,29 Jun 2020,29/06/2020,14/07/2020,29/06/2020,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND2/31084/2017&type=EC&ID=52692
825,SIA/PB/MIN/446727/2023,Balarwal Sand Mining Project over an extent of 4.8Ha. ,Non-Coal Mining,12 Oct 2023,07/10/2023,12/10/2023,12/10/2023,12/10/2023,,,20/10/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/446727/2023&type=EC&ID=226482
826,SIA/PB/INFRA2/432965/2023,THE SILICON COURTYARD,INFRA-2,08 Sep 2023,16/06/2023,,,23/06/2023,03/07/2023,08/09/2023,12/09/2023,,06/10/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/INFRA2/432965/2023&type=EC&ID=221510
827,SIA/PB/MIN/421105/2023,"Proposed Sand Mining (boulder, gravel, sand) as per approved DSR No. SEIAA/MS/2022/1318 with production capacity of 38871 TPA over an area of 4.98 ha on the agricultural bed/patta land located at Village- Majari, Tehsil Nangal, District Rupnagar, Punjab through XEN/DMO District Rupnagar Govt. of Punjab",Non-Coal Mining,07 Mar 2023,07/03/2023,,,17/03/2023,,,29/03/2023,,12/09/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/421105/2023&type=EC&ID=217320
828,SIA/PB/NCP/85661/2018,LA PRISMA,INFRA-1,12 Oct 2020,12/10/2020,18/01/2019,12/10/2020,20/10/2020,,,20/10/2020,29/10/2020,05/11/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/85661/2018&type=EC&ID=47676
