,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
640,SIA/OR/MIN/252184/2022,Ghumal Sand Bed Over an area of 12.35 Acres or 4.99 hectares in village Ghumal under Jamda Tahasil of Mayurbhanj District of Odisha.,Non-Coal Mining,18 Jan 2022,18/01/2022,,,28/01/2022,,,22/02/2022,06/03/2022,31/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/252184/2022&type=EC&ID=198046
641,SIA/OR/MIN/247219/2021,JAMUDIHA STONE QUARRY OVER AN AREA 5.486 ACRES or 2.220Hectares BEARING KHATA NO-82 &  PLOT NO-76 IN VILLAGE JAMUDIHA UNDER  MoHANA TAHASIL OF GAJAPATI DISTRICT(ODISHA),Non-Coal Mining,25 May 2022,24/12/2021,01/03/2022,25/05/2022,29/06/2022,,,22/07/2022,,22/09/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/247219/2021&type=EC&ID=195593
642,SIA/OR/MIN/271249/2022,"Moulabhanja Sand Quarry area is over 9.433 acres or 3.817Ha. bearing Khata no. 1505, Plot no. 4156 in village Moulabhanja ,Tahasil Sanakhemundi, District Ganjam",Non-Coal Mining,22 Jul 2022,05/05/2022,23/05/2022,22/07/2022,02/08/2022,,,17/08/2022,,22/09/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/271249/2022&type=EC&ID=202941
643,SIA/OR/MIN/245960/2021,Proposal for grant of environmental clearance of PRADHANPALI SAND QUARRY over an area 8.00ac or 3.237hec in Pradhanpali village of Rourkela tahasil in Sundergarh dist. Odisha,Non-Coal Mining,14 Jan 2022,19/12/2021,11/01/2022,14/01/2022,27/01/2022,,,22/02/2022,05/03/2022,31/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/245960/2021&type=EC&ID=195225
644,SIA/OR/MIS/212384/2021,Proposed (S+10) Storied Residential Colony  For Rungta Mines Limited At Dhenkanal,INFRA-2,26 May 2021,17/05/2021,21/05/2021,26/05/2021,23/07/2021,,,23/07/2021,11/08/2021,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIS/212384/2021&type=EC&ID=187777
645,SIA/OR/MIN/237420/2021,Chhelbahal Sand Bed of Ramesh Mahakur,Non-Coal Mining,06 Nov 2021,06/11/2021,,,12/11/2021,,,16/12/2021,11/01/2022,25/01/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/237420/2021&type=EC&ID=192989
646,SIA/OR/MIS/67579/2021,Proposed (S+10) Storied Residential Township Project for M/s Rungta Mines Limited,INFRA-2,17 Sep 2021,17/09/2021,,,13/10/2021,,,03/11/2021,14/02/2022,08/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIS/67579/2021&type=EC&ID=191164
647,SIA/OR/MIN/239856/2021,Proposal for grant of EC of Girkanpalli Sand Quarry over an area of 11.984 Acre or 4.850 Ha. in Village Girkanpalli under Kalimela Tahasil in Malkangiri District,Non-Coal Mining,20 Nov 2021,20/11/2021,,,23/11/2021,,,01/01/2022,06/02/2022,18/02/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/239856/2021&type=EC&ID=193574
648,SIA/OR/MIN/263400/2022,"For the grant of EC of Dankari Black Stone quarry No-16 (Khata No-S-221,H-465, Plot No-S-600(P),H-45) over an area of 12.00 acres or 4.856 hacters in village Dankari under Dharmasala Tahasil of Jajpur District, Odisha.",Non-Coal Mining,16 Apr 2022,24/03/2022,10/04/2022,16/04/2022,07/05/2022,,,10/05/2022,,02/06/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/263400/2022&type=EC&ID=200934
649,SIA/OR/MIN/59913/2021,"New proposed project of Jaipur & Nuapada Mahanadi Patha Cluster sand Quarry with proposed excavation of 51,000 m3/year of sand of Tahasildar Raghunathpur having an area of 16.16 Ha. Located at Khata No. 324 & 703, Plot No.282,2717,389,538,260 & 261, At- Jaipur & Nuapada under Raghunathpur Tahasil of Jagatsinghpur District, Odisha.",Non-Coal Mining,17 Jul 2022,17/07/2022,,,18/07/2022,,,22/07/2022,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/59913/2021&type=EC&ID=209004
