,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
2541,SIA/UP/MIN/154589/2020,"Proposed riverbed Sand/Morrum mining project from Sharda River for M/s Raj Contractor and supplier located at Gata No. 504, Village - Atariya, Tehsil - Paliya, District - Kheri, Uttar Pradesh.",Non-Coal Mining,01 Jun 2020,27/05/2020,01/06/2020,01/06/2020,05/06/2020,,,15/06/2020,22/06/2020,24/08/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/154589/2020&type=EC&ID=107139
2542,SIA/UP/MIN/185987/2020,BUILDING STONE (GITTI/BOULDERS),Non-Coal Mining,18 Dec 2020,01/12/2020,07/12/2020,18/12/2020,21/12/2020,,,22/12/2020,15/01/2021,24/02/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/185987/2020&type=EC&ID=145508
2543,SIA/UP/MIN/70769/2021,"Proposed “Building Stone (Khanda, Boulder, Bailast (Gitti))” Project",Non-Coal Mining,06 Jan 2022,04/01/2022,06/01/2022,06/01/2022,20/01/2022,,,25/01/2022,05/04/2022,20/05/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/70769/2021&type=EC&ID=197364
2544,SIA/UP/MIN/168454/2020,SOIL EXCAVATION PROJECT,Non-Coal Mining,17 Aug 2020,17/08/2020,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/168454/2020&type=EC&ID=124209
2545,SIA/UP/MIN/35091/2019,"Environmental Clearance for Proposed Building Stone (Sand stone) mine, at Gata No. /Araji No. 141 Lease Area: 0.890 ha. (2.23 Acers)  at Village- Chiraiya, Tehsil- Chunar, District- Mirzapur, Uttar Pradesh of  M/s P.B.R. Infratech Pvt. Ltd.",Non-Coal Mining,07 Sep 2021,07/09/2021,,,14/09/2021,,,05/10/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/35091/2019&type=EC&ID=190925
2546,SIA/UP/MIN/67355/2021,"“Building Stone (Khanda, Boulder, Bailast (Gitti))” Project at Gata No.-339 (Khand No.- 21 New 32 Old), Village- Daharra, Tehsil- Sadar, District- Mahoba, U.P. (Applied Area : 1.619 ha.)",Non-Coal Mining,15 Sep 2021,07/09/2021,14/09/2021,15/09/2021,21/09/2021,,,05/10/2021,25/11/2021,25/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/67355/2021&type=EC&ID=190915
2547,SIA/UP/MIS/243875/2021,"Proposed Hospital ”Yashoda Medicity” at Hospital Plot, Shakti Khand-2, Indirapuram, Ghaziabad, Uttar Pradesh",INFRA-2,08 Dec 2021,08/12/2021,,,13/12/2021,,,21/12/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/243875/2021&type=EC&ID=194642
2548,SIA/UP/MIN/56596/2019,"Environmental clearance of mining lease for Riverbed  Sand/Morrum Mining Project From Betwa River for M/s A P M Mining and Infra Pvt.Ltd. at Khand No. 10/29, Village- Beri, Tehsil- Sadar, District- Hamirpur, U.P.; Lease Area: 12.145 ha (30.01 acre)",Non-Coal Mining,15 Sep 2020,15/09/2020,,,16/09/2020,,,23/09/2020,20/11/2020,15/10/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/56596/2019&type=EC&ID=130359
2549,SIA/UP/MIN/215466/2021,"Building Stone (Khanda, Boulder Gitti) mine, at Khasra no. /Plot no./Gata No.- 3460, Khand no. 17, Area 1.619 ha. (4.00 Acres) at Village – Koshnakalan, Tehsil- Meja, District- Prayagraj, Uttar Pradesh of Shri Manoj Kumar Singh",Non-Coal Mining,16 Jun 2021,16/06/2021,,,23/06/2021,,,28/06/2021,03/11/2021,10/12/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/215466/2021&type=EC&ID=188415
2550,SIA/UP/MIN/69513/2021,"Building Stone Khanda, Boulder, Blastt (Gitti), [Granite] & Red Morrum” Mining Project",Non-Coal Mining,11 May 2022,11/05/2022,,,14/05/2022,,,16/05/2022,,14/07/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/69513/2021&type=EC&ID=203204
