,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
42,SIA/BR/MIN/136024/2020,"BRICK EARTH MINING PROJECT FOR M/S. DIVYA SHAKTI INT UDYOG, MAUZA- KARASA, CIRCLE- BIKRAM, DISTRICT- PATNA, AREA- 2.59 Ac, 1.05 Ha",Non-Coal Mining,11 Jan 2020,11/01/2020,25/01/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/136024/2020&type=EC&ID=85504
43,SIA/BR/MIS/226294/2021,Proposed Commercial and Residential Building “Nutan Crescent II” by Nutan Construction,INFRA-2,04 Sep 2021,25/08/2021,03/09/2021,04/09/2021,10/09/2021,,,15/09/2021,15/11/2021,02/12/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/226294/2021&type=EC&ID=190489
44,SIA/BR/MIS/66586/2021,"Passenger Ropeway at  Pretshilla Hills, Gaya , Bihar",INFRA-2,23 Feb 2022,05/08/2021,19/01/2022,23/02/2022,23/02/2022,,,25/02/2022,11/03/2022,07/04/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/66586/2021&type=EC&ID=190126
45,SIA/BR/MIS/166863/2020,"Proposed Jalalpur Residential with commercial building complex at Saristabad, Patna, Bihar",INFRA-2,11 Sep 2020,02/09/2020,07/09/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/166863/2020&type=EC&ID=121855
46,SIA/BR/MIN/129802/2019,"Rupauli (Khasra/Plot(s) No. 8119, 8118, 8196, 8098, 8112, 8084, 8313, 8314, 8272, 8273, 8274 & 1352) soil brick mining project.",Non-Coal Mining,05 Dec 2019,05/12/2019,06/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/129802/2019&type=EC&ID=78952
47,SIA/BR/MIN/130293/2019,Brick Earth Mining Project M/s. Vikash Int Udyog,Non-Coal Mining,08 Dec 2019,08/12/2019,06/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/130293/2019&type=EC&ID=79093
48,SIA/BR/MIN/130671/2019,Proposed Brick Earth Mining Project,Non-Coal Mining,10 Dec 2019,10/12/2019,04/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/130671/2019&type=EC&ID=79186
49,SIA/BR/MIN/131807/2019,"Bricks Earth Mining Project at Mauza- Korai, P.O- Korai, P.S- Garhpura, District- Begusarai (Bihar)",Non-Coal Mining,18 Dec 2019,18/12/2019,27/01/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/131807/2019&type=EC&ID=79484
50,SIA/BR/MIN/35673/2019,Sardahan Sand Ghat on Chilauni   RiverSardahan Sand Ghat on Chilauni   River,Non-Coal Mining,03 May 2019,03/05/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/35673/2019&type=EC&ID=55365
51,SIA/BR/MIS/121529/2019,Ashiyana Green City (Phase-2),INFRA-2,11 Nov 2019,28/10/2019,07/11/2019,11/11/2019,14/11/2019,,,14/11/2019,10/12/2019,20/02/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/121529/2019&type=EC&ID=68727
