,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
6814,SIA/MH/MIS/242256/2021,"“AMRUT SIDDHI” S. No. 41 H. No. 4A, B, C (4 + 5 + 6/1, 2 & 3), S. No. 41 H. No. 3 & S. No. 40 H. No. 2, 3, 4 & 5(Pt.) 6 New (6 + 7 Old), 7 New (8 Old) at Village Manda, Tal. Kalyan, Dist. Thane, Maharashtra by M/s. Jayshree Builders",INFRA-2,02-Dec-21,02-12-2021,,,02-12-2021,,,01-02-2022,,26-08-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/242256/2021&type=EC&ID=194194
6815,SIA/MH/MIS/69627/2021,"Proposed Residential project with shop line “Salsette 27” on plot bearing C. S. No. 707, N.G.E. Mill Compound of Mazagaon Division, off. Dr. Babasaheb Ambedkar Road, Byculla (E), Mumbai - 400 027, Maharashtra.",INFRA-2,02-Dec-21,02-12-2021,,,02-12-2021,,,31-01-2022,15-03-2022,27-04-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/69627/2021&type=EC&ID=194074
6816,SIA/MH/MIN/243478/2021,"Sawantgaon Sand spot over an extent of 1.03 Ha. at Girna River Bed Gut No’s. 4, 13, 14, 17, 18, 19, 20, 25, Sawantgaon Village, Tehsil Malegaon, Nashik District, Maharashtra",Non-Coal Mining,21-Dec-21,07-12-2021,,,08-12-2021,21-12-2021,21-12-2021,21-12-2021,24-12-2021,11-01-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/243478/2021&type=EC&ID=194523
6817,SIA/MH/MIN/238028/2021,"Stone quarry proposal of Mr. Suyog Jalindar Deshmukh, Daji Balkrushna Gavade, Shivaji Chandrappa More, Sachin Mahadev Jadhav & Ranjeet Sharad Jadhav  over an extent of area 1.20 Ha. at Gat No. 847 (P),  Village- Red, Tal-Shirala, District- Sangli",Non-Coal Mining,10-Nov-21,10-11-2021,,,15-11-2021,,,29-12-2021,12-01-2022,30-01-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/238028/2021&type=EC&ID=193145
6818,SIA/MH/MIS/245558/2021,"Proposed Residential Project at S. No. 108-1-3, 108-1- 4, 108-2-1, 108-1-5, Wakad, Taluka Mulshi, District Pune by Courtyard One Ventures LLP",INFRA-2,17-Dec-21,17-12-2021,,,20-12-2021,,,11-02-2022,16-03-2022,13-05-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/245558/2021&type=EC&ID=195100
6819,SIA/MH/NCP/51851/2016,Gagan Signet,INFRA-1,17-Mar-16,17-03-2016,,,03-08-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/NCP/51851/2016&type=EC&ID=15546
6820,SIA/MH/MIN/138742/2020,Stone quarry proposal of Mr. Satish B. Khalkar & Others,Non-Coal Mining,25-Jan-20,25-01-2020,,,27-01-2020,,,31-01-2020,13-03-2020,25-03-2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/138742/2020&type=EC&ID=86180
6821,SIA/MH/MIN/152846/2020,KHADGAON RIVER SAND MINE AT DUDHANA RIVER,Non-Coal Mining,12-May-20,12-05-2020,,,14-05-2020,,,22-05-2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/152846/2020&type=EC&ID=104670
6822,SIA/MH/MIN/163601/2020,Environmental Clearance for proposed river bed Sand mining having lease area 0.33 Ha (0.8151) of Yelki   sand ghat on Purna River.,Non-Coal Mining,21-Jul-20,21-07-2020,,,24-07-2020,,,16-09-2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/163601/2020&type=EC&ID=116148
6823,SIA/MH/MIS/229425/2021,"'Sai Vista' by SSD Promoters & Builders at Rahatani, Pune",INFRA-2,21-Sep-21,21-09-2021,,,22-09-2021,,,22-12-2021,11-01-2022,27-03-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/229425/2021&type=EC&ID=191177
6824,SIA/MH/MIS/218671/2021,Shree Enterprises,INFRA-2,08-Jul-21,08-07-2021,,,14-07-2021,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/218671/2021&type=EC&ID=189060
6825,SIA/MH/MIN/230941/2021,"Sand Ghat Ardhanari Gut No. 7,9",Non-Coal Mining,14-Oct-21,23-09-2021,,,28-09-2021,14-10-2021,14-10-2021,18-10-2021,25-10-2021,07-12-2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/230941/2021&type=EC&ID=191495
6826,SIA/MH/MIS/211100/2021,"Proposed Residential & Commercial project at Survey No. 39  ( Part), Village : Kiwale, Taluka: Haveli, District: Pune- 412101 by M/s Vision Creative Promoters",INFRA-2,02-May-21,02-05-2021,,,05-05-2021,,,22-09-2021,13-10-2021,09-12-2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/211100/2021&type=EC&ID=183537
6827,SIA/MH/NCP/11847/2015,Nagpur Improvement Trust,INFRA-1,17-May-16,17-05-2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/NCP/11847/2015&type=EC&ID=20162
6828,SIA/MH/MIS/55796/2016,Waterfall Enclave,INFRA-2,09-Jun-16,09-06-2016,,,04-08-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/55796/2016&type=EC&ID=21990
6829,SIA/MH/MIN/33235/2015,Sairam Stone Crusher,Non-Coal Mining,25-Nov-15,25-11-2015,,,06-01-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/33235/2015&type=EC&ID=2688
6830,SIA/MH/MIN/33316/2015,Bamhani Gayaki Ghat Sand Ghat  ,Non-Coal Mining,26-Nov-15,26-11-2015,,,06-01-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/33316/2015&type=EC&ID=2766
6831,SIA/MH/MIN/264033/2022,Proposed Bodhegaon Sand ghat,Non-Coal Mining,29-Mar-22,29-03-2022,,,31-03-2022,,,27-04-2022,,25-07-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/264033/2022&type=EC&ID=201125
6832,SIA/MH/MIN/263761/2022,Proposed Karanji sand ghat quarry (Minor Mineral),Non-Coal Mining,27-Mar-22,27-03-2022,,,28-03-2022,,,09-04-2022,,30-07-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/263761/2022&type=EC&ID=201051
6833,SIA/MH/MIS/278411/2022,MAZGAON DOCK GANESH CHS LTD,INFRA-2,18-Jun-22,18-06-2022,,,20-06-2022,,,16-08-2022,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/278411/2022&type=EC&ID=207656
6834,SIA/MH/MIN/278448/2022,Stone Quarry of Mr. Ankit Sureshkumar Gandhi,Non-Coal Mining,16-Jun-22,16-06-2022,,,20-06-2022,,,08-07-2022,,10-09-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/278448/2022&type=EC&ID=207664
6835,SIA/MH/MIS/246661/2021,Residential and Commercial Project,INFRA-2,22-Dec-21,22-12-2021,,,30-12-2021,,,01-02-2022,25-04-2022,24-06-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/246661/2021&type=EC&ID=195431
6836,SIA/MH/MIN/247478/2021,"Environmental Clearance for the Stone Quarry of  Smt. Ashwini Vijay Sawant, Shri. Ranjeet Vijay Sawant, Miss. Diksha Vijay Sawant",Non-Coal Mining,25-Dec-21,25-12-2021,,,30-12-2021,,,14-01-2022,21-01-2022,30-01-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/247478/2021&type=EC&ID=195669
6837,SIA/MH/MIN/258437/2022,SHRI. ATUL ANANDRAO BALGUDE &  SHRI. SACHIDANAND DATTATRAY MALVADKAR,Non-Coal Mining,25-Feb-22,25-02-2022,,,28-02-2022,,,09-04-2022,25-04-2022,23-06-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/258437/2022&type=EC&ID=199645
6838,SIA/MH/MIN/258509/2022,Veerchand Harideo Khatri,Non-Coal Mining,25-Feb-22,25-02-2022,,,28-02-2022,,,09-04-2022,25-04-2022,23-06-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/258509/2022&type=EC&ID=199667
6839,SIA/MH/MIS/68269/2021,"Proposed Residential Cum Commercial Project – CUSTOM ENCLAVE at C.S No. 146, Salt Pan Division, F/N Ward, Wadala, Mumbai.",INFRA-2,05-Mar-22,05-03-2022,,,08-03-2022,,,26-03-2022,,06-06-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/68269/2021&type=EC&ID=199997
6840,SIA/MH/MIN/242494/2021,Sagroli-3  Sand Ghat,Non-Coal Mining,09-Dec-21,09-12-2021,,,10-12-2021,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/242494/2021&type=EC&ID=194249
